,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico,age
"(20,)",63518,9911,92927,40130,526680,70328,52940,11681,10768,237099,137804,17140,20980,168948,96986,47683,43664,58313,58971,15834,75473,103768,137033,71326,40878,81115,13718,28180,32324,19374,108661,27872,264151,137202,12402,151195,52847,49865,170746,17461,65876,12001,83494,380988,43971,10680,113693,87734,22652,80032,7547,47762,20
"(21,)",65542,10789,94922,40226,542484,71932,52263,11528,9430,247651,141235,18638,21349,173540,97522,47717,44086,60110,62969,15456,77113,100702,142967,72742,42338,83051,14255,28350,34375,19310,113698,29088,271368,138804,12814,152288,53988,51212,169913,16808,66830,12008,86899,386867,47787,10402,117902,90563,23642,81207,7734,48380,21
"(22,)",67969,11529,97085,41339,561000,75482,50089,11946,9228,256494,144368,19975,22866,177433,96667,47688,43984,61805,66486,15494,77531,97892,145117,74221,43238,84788,15038,27706,36425,18397,116375,29426,273636,141174,14128,154631,56252,53008,168373,15599,67797,12004,89937,398746,51283,9286,118600,95687,23802,83186,8385,48480,22
"(23,)",68785,11925,99072,40941,578265,78615,47929,12364,11141,264413,147821,20508,23123,179673,94069,44566,43798,62450,69172,15357,79978,95472,145304,73660,43804,85097,15307,27451,38697,17138,118238,30183,283606,141798,14056,156772,57067,54525,167164,14907,69008,12198,93587,409157,53957,8489,117986,100748,23739,82518,8179,48128,23
"(24,)",70084,12995,101550,41976,606448,82898,45236,13085,13782,276110,151582,21197,23510,183494,96080,43895,42648,63988,71591,15452,81175,96903,143775,74710,44531,88366,15131,27751,41944,16891,118179,30623,292803,144115,13602,161503,59552,56681,170474,14822,70505,12269,97498,424226,54246,7843,118737,107842,24313,79627,8425,47632,24
"(25,)",71765,13477,103645,43153,637956,85713,44031,13879,15167,289699,153841,22527,23556,184886,94139,41822,40696,65283,74638,15693,83794,96874,145531,71860,44348,87736,14318,25778,44202,16338,117741,30274,307302,146546,13415,162118,59466,59740,172122,15490,73063,11535,99731,426175,52755,7451,121159,113132,24571,74718,8345,48310,25
"(26,)",70540,12976,102194,42456,642098,87250,43824,14189,16362,292253,153494,21757,23394,184315,90635,40608,38844,63134,73087,15868,85829,99877,140297,73243,43384,85368,13759,24894,45667,16247,117850,29311,314646,144862,12831,162579,57494,59553,177826,15819,72672,11233,98614,424792,47966,7297,121231,114367,23837,72971,8502,48764,26
"(27,)",66168,12394,95889,39817,614959,84811,43219,13995,16719,279642,146830,20739,22234,177379,86610,38442,37412,58938,70057,15929,83584,99544,127295,72493,40852,81716,13161,23942,43757,16132,114119,27753,303215,139943,11963,157204,54847,57128,175285,15463,69183,11174,93261,411539,45457,6932,117933,110232,22213,69989,7931,45029,27
"(28,)",62734,12181,92042,38705,600289,83997,44533,13169,17450,269969,142141,20665,21219,176601,84089,36945,37199,55803,66929,15661,83703,99841,121878,72683,37903,78931,12838,24486,43130,15858,113471,27499,300235,134601,11300,150572,52833,56164,171334,15057,65507,11122,89436,405825,42817,7255,117452,106994,21004,69358,7722,42496,28
"(29,)",60949,11715,89964,37660,583536,84828,44398,12397,16875,262686,139124,20714,21225,174707,82138,36717,36930,54653,66288,15449,83781,98879,116827,74292,37135,78586,12559,24812,42384,15941,113604,27405,294621,130972,10950,146444,51947,55576,167607,14339,62991,11092,86537,404360,41099,7282,116529,105425,20769,70030,7857,40860,29
"(30,)",60439,12054,90920,37585,582116,86147,44879,12331,16845,261878,138226,20496,21341,177164,83424,38633,38108,54514,66622,15628,83185,97694,118594,75883,37222,80150,12702,25393,42220,16151,116492,27820,290803,130511,11176,146428,52942,56558,166464,13769,62779,11290,86224,406879,42089,7148,117136,107196,20554,72404,8171,39548,30
