,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico,age
"(48,)",59815,8610,80958,35034,506889,68339,49647,11813,7346,258825,135629,16830,18730,162893,80553,35972,32251,55927,55712,17639,81459,91672,126029,67598,35760,72003,11290,20977,37871,18612,124528,23172,258054,132807,7834,144491,43865,49108,163392,13976,61051,9276,83647,341007,30299,7856,110072,90742,22781,71904,6231,42695,48
"(49,)",60150,8759,79329,35168,496143,66234,50528,12285,7209,262870,135482,16744,18716,163262,81718,36574,32609,56242,56012,18206,82271,93130,128183,67897,35365,73335,11429,21260,37352,19194,125724,23500,259591,131959,7892,146780,43693,48418,166814,14371,61035,9314,83962,333965,29884,8160,110296,88371,23081,74512,6214,43950,49
"(50,)",61927,9037,80082,35853,500034,66648,52859,12617,7325,270760,137424,17171,18804,165600,83097,37227,33525,57147,57295,18589,84560,95734,130957,70321,36256,74737,11731,21811,37656,19716,128995,23714,267265,132684,8073,149035,44523,48417,170710,14620,63320,9687,86162,335003,28927,8387,112625,88868,23399,76640,6377,45767,50
"(51,)",66742,9623,85334,39210,524776,71084,55575,13392,7778,287955,143833,18308,19516,175352,88792,39745,35892,61820,61522,19663,89519,100695,138032,74895,38973,81257,12939,23331,39763,21131,135160,25861,283787,139322,8731,158368,48391,50542,180944,15645,67157,10441,91822,350077,29749,9031,119794,94049,25161,81349,6876,46543,51
"(52,)",67750,9966,86182,40297,527880,72674,56128,13561,7868,294511,144462,18117,20224,177299,91454,41091,37678,63088,62758,20618,90989,102109,143048,77363,39817,84586,13520,24322,39628,21853,136106,26621,284851,141944,9099,162660,50161,51381,184161,15503,68984,11120,93561,353567,30305,9299,122222,96831,25437,83577,7254,46163,52
"(53,)",67482,10128,86295,40429,523383,73233,55339,13742,7741,291861,141603,18421,20759,177660,90634,41847,38541,62574,62720,21182,89867,100959,143350,78896,39893,86036,13958,24900,39237,22145,135383,27226,281986,140662,9585,162967,51255,52473,183430,15375,67992,11534,92659,352545,30938,9505,121598,98785,25193,84568,7661,45585,53
"(54,)",67938,10215,86137,39886,517032,73624,55095,13604,7647,289634,139574,18395,21141,177658,91048,42909,38880,62673,63232,21417,88987,100270,144227,79753,40141,87074,14459,25407,38759,22035,133811,28220,277830,139221,9734,165201,51649,53297,184692,15745,67527,11507,91524,349175,31198,9735,119504,98162,25332,85549,7710,44685,54
"(55,)",68304,10379,87241,40156,518766,75364,56193,13710,7617,291973,138642,18376,21628,180629,93172,44177,39888,63018,63996,21771,89364,101055,146769,81607,40507,88618,15021,25896,38670,22642,134561,28632,280988,139698,10053,169614,52305,54462,189755,15895,68599,11995,92064,348477,31426,10168,119922,99725,26082,88065,8261,45173,55
"(56,)",69471,10579,88266,40590,528077,75834,56393,13745,7722,291896,137795,19473,21624,182732,93324,44712,39748,63212,65692,21769,89202,101023,147432,81965,41158,88742,15363,26151,39238,22526,134647,29106,287203,140034,10259,170391,53139,55614,191218,15732,69091,12200,92984,350012,31387,9944,119440,100233,26805,87603,8476,45901,56
"(57,)",66838,10051,85315,39311,498456,73398,54311,13416,7267,281672,132076,18510,20901,176442,90523,42929,38767,61628,63760,21569,86450,98174,145453,78860,39952,85676,15223,25242,37097,22199,130324,27703,274820,135500,10012,168568,50845,54013,189175,15472,66755,11771,89854,334390,30422,10030,115186,97357,26985,85311,8314,43842,57
