iter,incidence(millions),beta_H1,beta_H3,beta_B,susceptibility_H1_0,susceptibility_H1_5,susceptibility_H1_25,susceptibility_H1_65,susceptibility_H3_0,susceptibility_H3_5,susceptibility_H3_25,susceptibility_H3_65,susceptibility_B_0,susceptibility_B_5,susceptibility_B_25,susceptibility_B_65,vac_eff_hospitalization,vac_eff_mortality,prob_hosp_scaling,prob_death_scaling
330,28.694950308939397,0.0018724402087889613,0.0019063039355572964,0.0015146122790901106,0.86903657267694723,0.57564882776056248,0.66479349452258485,0.71981100238529128,0.87911758630021097,0.6093411602687232,0.5114199402893338,1.0,0.96344900725746019,0.80832047131124662,0.67914320585697285,1.0,0.53923502527117273,0.61105147512960878,0.00031013305161992077,3.4231863848377397e-05
331,28.95343354691385,0.0013876221354161555,0.0019746800640500495,0.0019440805469271849,0.5420907201747337,0.89300138889271174,0.96432311233167478,0.51475010481356864,0.77190136265440867,0.58931658838198708,0.52612506110956958,1.0,0.8425331040255799,0.56582547426688978,0.57694964574496999,0.73244545124859139,0.10955774553947628,0.52458762952164528,0.00025224282163266443,3.8310861424473153e-05
332,28.94838937810047,0.0014033151005747313,0.0016290198677146317,0.001498957189419059,0.61097363063418464,0.7706295130629861,0.92214597393180564,0.83864446787371816,0.8135356782058164,0.71949864820855991,0.59843828440416003,1.0,0.66708358228271392,0.6967929844918237,0.86227620407114713,0.43447892290779128,0.50791349855748924,0.76773699720915589,0.0004620115802863034,3.2543453537592359e-05
333,29.02005251076108,0.0013110390276648842,0.0013984944462375193,0.001730898304970141,0.88474576698246832,0.86301611511963505,0.93129624013872958,0.86279305786665528,0.5959953021139921,0.80591832141473996,0.7674935707259678,1.0,0.70902950649712415,0.56773806090592649,0.67844748529812493,0.79159422462599571,0.78971649047647219,0.65431817340188292,0.00014526456384000852,5.4139083268900379e-05
334,28.467602765136146,0.0014405980352473757,0.0021346786713438703,0.0013496888606943092,0.9924789547981363,0.78202399915451015,0.88427030867610057,0.68696665315187122,0.61268536582132416,0.54161588732623667,0.47191708834116192,1.0,0.55695361497664198,0.96413358420984241,0.78783618712601511,0.67434782483339206,0.26580749260711856,0.19050236231842865,0.00020320085327724113,4.514932302990271e-05
335,28.998936396174994,0.0019583345964707677,0.0018362507446998411,0.0016263264434018265,0.44938015176285501,0.65220043605259703,0.79527968808546579,0.58645806721868143,0.55579204135332949,0.76294025815027422,0.69046392186609284,1.0,0.44188825772365348,0.93985770651734513,0.74538582040551882,0.69609153650057265,0.68162650969846383,0.36627640903930797,0.00058668618140228501,5.6774301318118781e-05
336,28.85993092345533,0.002133565537483284,0.0014384793842661114,0.0017713265506078546,0.78885144894378534,0.56476516073047822,0.57899359017916119,0.44019178574044004,0.62456482494917964,0.94231948256222398,0.69982144538166013,0.92397725391618524,0.72912929071597188,0.69014638285070706,0.67011385010366897,0.95904361915763769,0.59415288898481777,0.30691836131194961,0.00023477741066674218,7.7279018051046311e-05
337,28.65844197133369,0.0014616915229053729,0.0016293749871385543,0.0021753626432174933,0.91146695181750581,0.98169591395908795,0.78338099862904043,0.76333516066457141,0.41805624391229829,0.93226400213519556,0.55981008123222553,0.4936898179746454,0.58177268723520881,0.55667219119966616,0.62825995312506344,0.4829716257512412,0.80646469841397628,0.32501344119971209,0.0012662153042905522,3.6982062287804762e-05
338,28.64316762210276,0.001768564626778546,0.0014215456586640918,0.0021128162469963851,0.57800463550170955,0.68162967728972568,0.69031578248704928,0.81692536253679693,0.99998806333954782,0.82508542808384688,0.75055747819544583,1.0,0.95597839805356633,0.57433193653726378,0.45274096520244206,0.98188020447233892,0.096709388544711894,0.50428972249823567,0.00043467623810922174,4.6089851805652948e-05
339,29.448114905078516,0.0017537397020468415,0.0020920416499468075,0.0022356012373148104,0.88257405176899684,0.70874349287032323,0.69379653988795298,0.43363526407729924,0.65516917212393233,0.60239164104966281,0.46356167022911021,1.0,0.73058781137335616,0.45630380674859627,0.55052658467587956,0.94284951992208055,0.50493043617094757,0.29445244728724718,0.00029839796489189441,3.8470205652230138e-05
