,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,age
"(10,)",62336.01509,9509.947256,88602.65916,36535.05418,480451.1029,67612.80697,43864.16775,12218.25884,264918.7372,132271.1696,18322.71999,21546.16943,164616.9328,85080.4921,40153.08926,37291.36619,56892.71613,60099.50602,17060.09553,77266.85621,87513.55563,127395.4623,70858.22684,38287.65591,78118.73752,13320.6618,24464.82224,37695.64559,17121.43704,115147.3086,26745.4618,254398.4313,130258.5448,9689.829336,149058.1203,50289.09695,52402.41001,163993.1167,13563.1807,63609.23292,11049.19204,85277.95712,357877.1308,39043.11961,7994.454192,107913.602,93377.26772,23452.091,74037.09692,7501.413645,10
"(11,)",62159.45372,9483.011152,88351.69979,36535.05418,480451.1029,67612.80697,43864.16775,12183.65168,264168.3778,131896.5229,18270.82247,21485.14177,164150.6696,84839.50896,40039.35911,37185.74162,56731.57243,59929.27936,17011.77428,77048.00451,87265.68105,127034.6257,70657.52704,38179.20943,77897.47295,13282.93217,24395.52774,37588.87593,17072.94205,114821.1638,26669.70759,253677.8698,129889.5988,9662.383732,148635.9261,50146.65743,52253.98472,163528.6204,13524.76416,63429.06527,11017.89616,85036.41468,356863.4748,38932.53335,7971.810592,107607.9461,93112.78468,23385.66498,73827.39324,7480.16654,11
"(12,)",62294.17533,9503.564205,88543.1893,36535.05418,480451.1029,67612.80697,43864.16775,12210.05798,264740.9245,132182.3895,18310.42183,21531.7077,164506.4424,85023.38631,40126.13862,37266.33633,56854.5299,60059.1674,17048.64484,77214.99491,87454.81677,127309.9548,70810.667,38261.95734,78066.30444,13311.72101,24448.40152,37670.34438,17109.94518,115070.0221,26727.51032,254227.6798,130171.1157,9683.32555,148958.073,50255.34305,52367.23766,163883.045,13554.07713,63566.53859,11041.77585,85220.71879,357636.9247,39016.91398,7989.088337,107841.1707,93314.59315,23436.35002,73987.40342,7496.378718,12
"(13,)",61853.29151,9436.303218,87916.52943,36535.05418,480451.1029,67612.80697,43864.16775,12123.64192,262867.2342,131246.8755,18180.83076,21379.31815,163342.1565,84421.63766,39842.14793,37002.58575,56452.14488,59634.10172,16927.98393,76668.50975,86835.8598,126408.9252,70309.50814,37991.1603,77513.79418,13217.50798,24275.36921,37403.73445,16988.85042,114255.6199,26538.34774,252428.3965,129249.8363,9614.79231,147903.8298,49899.66344,51996.61122,162723.1712,13458.14885,63116.64967,10963.62825,84617.57353,355105.7677,38740.77377,7932.545974,107077.9304,92654.16391,23270.48045,73463.76138,7443.323482,13
"(14,)",61625.61273,9401.568672,87592.91322,36535.05418,480451.1029,67612.80697,43864.16775,12079.01542,261899.6335,130763.7625,18113.90806,21300.62198,162740.9024,84110.88597,39695.49104,36866.38114,56244.34745,59414.59167,16865.6729,76386.29692,86516.22148,125943.6204,70050.70246,37851.3168,77228.4699,13168.85502,24186.01283,37266.05323,16926.31534,113835.0509,26440.66145,251499.2206,128774.0743,9579.400756,147359.4035,49715.98535,51805.21438,162124.1956,13408.61009,62884.32054,10923.2717,84306.10061,353798.6417,38598.17098,7903.346682,106683.782,92313.10871,23184.82302,73193.34506,7415.924992,14
"(15,)",63201.87822,9642.042845,89833.37266,36535.05418,480451.1029,67612.80697,43864.16775,12387.97357,268598.526,134108.4498,18577.22724,21845.45121,166903.5039,86262.2818,40710.8259,37809.35277,57682.97044,60934.30346,17297.0646,78340.11252,88729.1412,129165.0177,71842.46566,38819.4812,79203.82668,13505.68918,24804.64485,38219.24771,17359.25816,116746.7341,27116.96308,257932.0903,132067.8692,9824.423533,151128.5756,50987.62531,53130.29283,166271.0229,13751.57673,64492.78137,11202.66813,86462.48966,362848.1353,39585.43848,8105.499197,109412.5494,94674.30174,23777.84651,75065.49105,7605.610191,15
"(16,)",64242.97734,9800.872339,91313.16168,36535.05418,480451.1029,67612.80697,43864.16775,12592.03567,273023.0414,136317.5644,18883.24243,22205.30254,169652.8382,87683.24568,41381.43896,38432.17103,58633.15882,61938.04974,17581.99219,79630.57768,90190.74066,131292.7011,73025.8977,39458.9389,80508.51946,13728.16297,25213.24179,38848.81801,17645.21024,118669.8561,27563.6499,262180.9019,134243.3701,9986.257311,153618.0558,51827.52396,54005.48678,169009.9386,13978.10093,65555.14502,11387.20518,87886.75148,368825.1867,40237.51349,8239.017825,111214.8583,96233.83344,24169.52941,76302.01469,7730.894349,16
"(17,)",63331.17783,9661.768721,90017.1555,36535.05418,480451.1029,67612.80697,43864.16775,12413.31712,269148.03,134382.8115,18615.23289,21890.14305,167244.9583,86438.75883,40794.11288,37886.70387,57800.97937,61058.96403,17332.45127,78500.38222,88910.66498,129429.266,71989.44235,38898.89884,79365.86339,13533.31938,24855.39067,38297.43738,17394.77206,116985.5768,27172.43948,258459.7728,132338.0562,9844.522528,151437.7573,51091.93678,53238.98781,166611.1833,13779.70997,64624.72194,11225.58676,86639.37628,363590.457,39666.42313,8122.081583,109636.3877,94867.98825,23826.49169,75219.06147,7621.169895,17
"(18,)",63474.96623,9683.704999,90221.53229,36535.05418,480451.1029,67612.80697,43864.16775,12441.50057,269759.1092,134687.9169,18657.49729,21939.84288,167624.6747,86635.01116,40886.73267,37972.72262,57932.2119,61197.59355,17371.80322,78678.6111,89112.52958,129723.1249,72152.88866,38987.2157,79546.05727,13564.0457,24911.82285,38384.38867,17434.26551,117251.1832,27234.13234,259046.5851,132638.5192,9866.873733,151781.5847,51207.93695,53359.86269,166989.4608,13810.99571,64771.44723,11251.07356,86836.0841,364415.9602,39756.48259,8140.522123,109885.3084,95083.37847,23880.58784,75389.84037,7638.473155,18
"(19,)",63759.95253,9727.182347,90626.6038,36535.05418,480451.1029,67612.80697,43864.16775,12497.35971,270970.2583,135292.6311,18741.26466,22038.34714,168377.2664,87023.98011,41070.3036,38143.21039,58192.31265,61472.35503,17449.79815,79031.85785,89512.62194,130305.5484,72476.83659,39162.25828,79903.19863,13624.94479,25023.67054,38556.72471,17512.54088,117777.6109,27356.4066,260209.6377,133234.0321,9911.173462,152463.0451,51437.84744,53599.43477,167739.2006,13873.00353,65062.25439,11301.588,87225.95581,366052.0942,39934.97899,8177.070976,110378.6652,95510.27842,23987.80555,75728.32139,7672.767937,19
