,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,age
"(37,)",61758.9186,9421.905741,87782.39043,36535.05418,480451.1029,67612.80697,43864.16775,12105.14422,262466.1635,131046.625,18153.09129,21346.69857,163092.9365,84292.83101,39781.35862,36946.12891,56366.0128,59543.11476,16902.15599,76551.53246,86703.36964,126216.0563,70202.23313,37933.19514,77395.5272,13197.34132,24238.33097,37346.66555,16962.92961,114081.2939,26497.85675,252043.2528,129052.6328,9600.122503,147678.165,49823.52883,51917.27719,162474.8956,13437.61502,63020.34919,10946.90045,84488.46793,354563.9637,38681.66488,7920.442861,106914.5558,92512.79645,23234.97543,73351.67375,7431.966802,37
"(38,)",60548.86396,9237.300489,86062.4528,36535.05418,480451.1029,67612.80697,43864.16775,11867.96575,257323.6123,128479.0027,17797.4142,20928.4485,159897.4246,82641.265,39001.91464,36222.23614,55261.62242,58376.4748,16570.98873,75051.64323,85004.57347,123743.0803,68826.74697,37189.96259,75879.10142,12938.76321,23763.42458,36614.92499,16630.5716,111846.0767,25978.67903,247104.9198,126524.0792,9412.025415,144784.6777,48847.32663,50900.05177,159291.4931,13174.32919,61785.5791,10732.41568,82833.06877,347616.9222,37923.76742,7765.256066,104819.7579,90700.17504,22779.72798,71914.47998,7286.350815,38
"(39,)",59924.3551,9142.02577,85174.79346,36535.05418,480451.1029,67612.80697,43864.16775,11745.55801,254669.5431,127153.8536,17613.84936,20712.58976,158248.2217,81788.89224,38599.64381,35848.63528,54691.64686,57774.37224,16400.07339,74277.55082,84127.82524,122466.778,68116.85894,36806.38048,75096.47449,12805.31113,23518.32553,36237.27389,16459.04172,110692.4817,25710.73156,244556.2475,125219.0934,9314.94856,143291.3497,48343.50895,50375.06201,157648.5399,13038.44744,61148.3146,10621.72015,81978.71772,344031.556,37532.61674,7685.164205,103738.6332,89764.68163,22544.77491,71172.74468,7211.198444,39
"(40,)",58169.52511,8874.309898,82680.52745,36535.05418,480451.1029,67612.80697,43864.16775,11401.60007,247211.7782,123430.2692,17098.04387,20106.04049,153614.0671,79393.77925,37469.28851,34798.84075,53090.05195,56082.50254,15919.81223,72102.40061,81664.21874,118880.4503,66122.11897,35728.53925,72897.34285,12430.31929,22829.61285,35176.09843,15977.05372,107450.9535,24957.81627,237394.6413,121552.1667,9042.168802,139095.1934,46927.81346,48899.87434,153031.9464,12656.62842,59357.64207,10310.67278,79578.04587,333956.9062,36433.50835,7460.111193,100700.7421,87136.00495,21884.57177,69088.51588,7000.025086,40
"(41,)",59931.65974,9143.140161,85185.17607,36535.05418,480451.1029,67612.80697,43864.16775,11746.98977,254700.5867,127169.3533,17615.99644,20715.11458,158267.5118,81798.86211,38604.34902,35853.00515,54698.31364,57781.4148,16402.07252,74286.60508,84138.08022,122481.7064,68125.16223,36810.86709,75105.62858,12806.87206,23521.19236,36241.69113,16461.04804,110705.9749,25713.86563,244586.0584,125234.3573,9316.08403,143308.8165,48349.40191,50381.20261,157667.7569,13040.0368,61155.76843,10623.01491,81988.71073,344073.4927,37537.19188,7686.101008,103751.2787,89775.62374,22547.52306,71181.42047,7212.077472,41
"(42,)",58043.08711,8855.020587,82500.81203,36535.05418,480451.1029,67612.80697,43864.16775,11376.81741,246674.4356,123161.9796,17060.87935,20062.33775,153280.1697,79221.20795,37387.8448,34723.20156,52974.65475,55960.60091,15885.20873,71945.67793,81486.71238,118622.0503,65978.3951,35650.87925,72738.89228,12403.30059,22779.99012,35099.63923,15942.3258,107217.3968,24903.56765,236878.6373,121287.9593,9022.514631,138792.8543,46825.81058,48793.58497,152699.3143,12629.11782,59228.62156,10288.26137,79405.07404,333231.0134,36354.31603,7443.895802,100481.8578,86946.60504,21837.00319,68938.34422,6984.809745,42
"(43,)",58897.42848,8985.358425,83715.14884,36535.05418,480451.1029,67612.80697,43864.16775,11544.27381,250305.2586,124974.8117,17311.99995,20357.63709,155536.3142,80387.27197,37938.15982,35234.29546,53754.39342,56784.28999,16119.02453,73004.65278,82686.12256,120368.0588,66949.53699,36175.62772,73809.54252,12585.86588,23115.29083,35616.27395,16176.98231,108795.5392,25270.12549,240365.2751,123073.2076,9155.317829,140835.7588,47515.04386,49511.7821,154946.9091,12815.00693,60100.41292,10439.69521,80573.8444,338135.8704,36889.41845,7553.463168,101960.8592,88226.37987,22158.42399,69953.05386,7087.619782,43
"(44,)",61527.29381,9386.569194,87453.16547,36535.05418,480451.1029,67612.80697,43864.16775,12059.74428,261481.7928,130555.139,18085.00872,21266.63848,162481.2619,83976.69353,39632.15994,36807.56367,56154.61392,59319.80027,16838.76502,76264.42847,86378.19151,125742.6871,69938.94197,37790.92794,77105.25783,13147.84512,24147.42591,37206.59812,16899.3107,113653.4358,26398.47741,251097.9729,128568.6252,9564.11756,147124.3029,49636.66733,51722.56315,161865.5389,13387.21769,62783.99345,10905.84446,84171.59672,353234.1832,38536.59057,7890.737501,106513.5763,92165.83026,23147.83342,73076.57072,7404.093455,44
"(45,)",65006.62072,9917.373342,92398.58291,36535.05418,480451.1029,67612.80697,43864.16775,12741.71467,276268.4116,137937.9439,19107.70375,22469.25252,171669.4675,88725.51883,41873.33182,38889.00654,59330.11941,62674.29491,17790.9858,80577.13038,91262.8199,132853.3511,73893.94189,39927.97939,81465.50808,13891.34689,25512.94653,39310.60611,17854.95531,120080.4608,27891.29348,265297.3937,135839.0941,10104.96195,155444.0828,52443.58734,54647.43916,171018.9258,14144.25581,66334.38587,11522.5626,88931.44366,373209.3377,40715.80874,8336.953377,112536.8471,97377.74571,24456.82776,77209.00143,7822.789939,45
"(46,)",65794.00041,10037.49554,93517.74226,36535.05418,480451.1029,67612.80697,43864.16775,12896.04614,279614.6574,139608.6897,19339.14199,22741.40684,173748.7795,89800.18892,42380.51417,39360.04185,60048.74361,63433.42476,18006.47556,81553.10475,92368.22255,134462.5108,74788.96748,40411.59905,82452.24275,14059.60305,25821.96699,39786.74796,18071.21988,121534.9114,28229.12119,268510.7553,137484.4179,10227.35628,157326.8682,53078.7998,55309.34534,173090.3583,14315.57528,67137.84785,11662.12733,90008.60798,377729.7611,41208.97083,8437.933057,113899.9271,98557.21417,24753.0562,78144.18002,7917.541917,46
"(47,)",62336.76815,9510.062141,88603.72953,36535.05418,480451.1029,67612.80697,43864.16775,12218.40644,264921.9376,132272.7675,18322.94134,21546.42972,164618.9215,85081.51992,40153.57433,37291.8167,56893.40343,60100.23205,17060.30163,77267.78963,87514.61284,127397.0013,70859.08285,38288.11845,78119.68124,13320.82272,24465.11779,37696.10098,17121.64387,115148.6997,26745.7849,254401.5046,130260.1184,9689.946395,149059.9211,50289.70447,52403.04306,163995.0979,13563.34455,63610.00136,11049.32552,85278.98733,357881.4542,39043.59127,7994.55077,107914.9057,93378.39577,23452.37431,74037.99133,7501.504267,47
"(48,)",61019.02659,9309.028233,86730.72873,36535.05418,480451.1029,67612.80697,43864.16775,11960.12064,259321.7331,129476.6437,17935.61133,21090.95815,161139.0299,83282.97537,39304.76495,36503.50222,55690.72956,58829.7688,16699.66265,75634.4201,85664.63496,124703.9467,69361.18745,37478.74307,76468.30351,13039.23286,23947.94785,36899.24031,16759.70818,112714.5628,26180.40377,249023.6924,127506.5401,9485.1099,145908.9323,49226.62668,51295.29125,160528.3933,13276.62801,62265.34483,10815.75301,83476.2685,350316.1716,38218.2459,7825.553369,105633.6845,91404.46294,22956.61283,72472.89674,7342.929412,48
"(49,)",61057.4776,9314.894297,86785.38191,36535.05418,480451.1029,67612.80697,43864.16775,11967.65729,259485.1442,129558.2331,17946.91341,21104.24857,161240.5713,83335.45596,39329.53276,36526.50482,55725.82295,58866.84025,16710.1859,75682.08097,85718.61634,124782.5286,69404.89525,37502.36022,76516.48985,13047.4495,23963.0386,36922.49228,16770.26927,112785.5896,26196.9013,249180.6141,127586.8881,9491.086922,146000.8765,49257.64674,51327.61487,160629.55,13284.99424,62304.5812,10822.56853,83528.87089,350536.9226,38242.32905,7830.484625,105700.2493,91462.06127,22971.07889,72518.56539,7347.556544,49
"(50,)",62151.26047,9481.761195,88340.05414,36535.05418,480451.1029,67612.80697,43864.16775,12182.04575,264133.5578,131879.1376,18268.41419,21482.30981,164129.0329,84828.32626,40034.08151,37180.84017,56724.09464,59921.38008,17009.53196,77037.84881,87254.17855,127017.8812,70648.21366,38174.17703,77887.20528,13281.18135,24392.31217,37583.92134,17070.69166,114806.0293,26666.19226,253644.4325,129872.478,9661.110133,148616.3344,50140.04759,52247.09711,163507.0657,13522.98146,63420.70468,11016.44389,85025.20602,356816.4366,38927.40165,7970.759827,107593.7622,93100.51147,23382.58251,73817.66205,7479.180578,50
"(51,)",65830.99049,10043.13873,93570.31893,36535.05418,480451.1029,67612.80697,43864.16775,12903.29644,279771.8597,139687.1791,19350.01466,22754.1923,173846.4629,89850.67554,42404.34095,39382.17048,60082.50365,63469.08771,18016.59899,81598.95477,92420.15294,134538.107,74831.01463,40434.31888,82498.59827,14067.5075,25836.48438,39809.11649,18081.37972,121603.2396,28244.9919,268661.7149,137561.7131,10233.10621,157415.319,53108.64126,55340.44084,173187.6716,14323.62364,67175.59346,11668.6839,90059.21177,377942.1248,41232.13895,8442.676952,113963.9628,98612.62408,24766.97262,78188.1135,7921.993243,51
"(52,)",66986.04196,10219.35273,95212.07661,36535.05418,480451.1029,67612.80697,43864.16775,13129.69393,284680.6557,142138.0899,19689.5244,23153.43076,176896.7226,91427.16943,43148.35521,40073.15862,61136.69384,64582.69791,18332.71301,83030.66637,94041.73014,136898.6736,76143.97791,41143.76772,83946.09475,14314.33191,26289.80384,40507.59571,18398.63036,123736.8548,28740.57034,273375.5754,139975.3311,10412.65332,160177.2826,54040.47008,56311.42816,176226.3722,14574.94179,68354.23694,11873.41925,91639.36459,384573.3877,41955.5861,8590.809713,115963.5415,100342.8526,25201.52674,79559.97946,8060.990239,52
"(53,)",66877.25557,10202.75634,95057.45069,36535.05418,480451.1029,67612.80697,43864.16775,13108.3711,284218.3298,141907.2554,19657.5483,23115.82923,176609.4395,91278.69027,43078.28161,40008.07918,61037.40688,64477.81459,18302.9404,82895.82326,93889.00489,136676.348,76020.31889,41076.94959,83809.76497,14291.08521,26247.10878,40441.81073,18368.75069,123535.9042,28693.8952,272931.6092,139748.0089,10395.74301,159917.1521,53952.7075,56219.97752,175940.1778,14551.27186,68243.22858,11854.13663,91490.54081,383948.8345,41887.44957,8576.858103,115775.2149,100179.8942,25160.59907,79430.7728,8047.899064,53
"(54,)",66683.46429,10173.19165,94782.00121,36535.05418,480451.1029,67612.80697,43864.16775,13070.38677,283394.7458,141496.0485,19600.58632,23048.84612,176097.6755,91014.19056,42953.45299,39892.14714,60860.53782,64290.97621,18249.90368,82655.61472,93616.94123,136280.2988,75800.03361,40957.92026,83566.90809,14249.67371,26171.05212,40324.62186,18315.52328,123177.9322,28610.74844,272140.7309,139343.0589,10365.6191,159453.7577,53796.36789,56057.068,175430.3532,14509.10641,68045.4791,11819.78671,91225.42723,382836.2599,41766.07164,8552.004806,115439.7312,99889.60135,25087.6908,79200.605,8024.57854,54
"(55,)",67447.84566,10289.80524,95868.47141,36535.05418,480451.1029,67612.80697,43864.16775,13220.21042,286643.2523,143117.994,19825.26455,23313.05118,178116.2537,92057.47098,43445.82122,40349.42413,61558.17197,65027.9329,18459.09926,83603.08218,94690.05654,137842.457,76668.91669,41427.41404,84524.82155,14413.01533,26471.0465,40786.85624,18525.47105,124589.9002,28938.70866,275260.2345,140940.325,10484.43845,161281.5494,54413.02664,56699.64077,177441.2819,14675.42186,68825.47302,11955.27494,92271.12901,387224.6477,42244.82912,8650.035004,116762.9975,101034.6191,25375.2668,80108.46826,8116.562938,55
"(56,)",67974.54769,10370.1586,96617.11086,36535.05418,480451.1029,67612.80697,43864.16775,13323.4474,288881.6571,144235.6062,19980.08057,23495.10342,179507.1682,92776.35022,43785.0908,40664.51386,62038.88137,65535.73776,18603.24686,84255.94087,95429.49371,138918.8724,77267.62631,41750.92182,85184.87813,14525.56695,26677.75961,41105.36189,18670.13695,125562.8261,29164.69181,277409.749,142040.9318,10566.31171,162541.0013,54837.93941,57142.40978,178826.9256,14790.02262,69362.93298,12048.634,92991.67671,390248.4953,42574.72012,8717.583357,117674.8028,101823.6011,25573.42293,80734.03742,8179.945395,56
"(57,)",65621.33986,10011.15455,93272.32742,36535.05418,480451.1029,67612.80697,43864.16775,12862.20357,278880.8759,139242.3202,19288.39105,22681.72749,173292.8176,89564.5299,42269.2967,39256.75087,59891.16011,63266.95898,17959.22189,81339.08822,92125.82434,134109.6462,74592.70181,40305.54852,82235.86665,14022.707,25754.20344,39682.3372,18023.79631,121215.9722,28155.04064,267806.1133,137123.6231,10200.51704,156914.0016,52939.50724,55164.19925,172636.1243,14278.00749,66961.6607,11631.52288,89772.40202,376738.5001,41100.82778,8415.789729,113601.0241,98298.57444,24688.09775,77939.10939,7896.764231,57
"(58,)",65169.02465,9942.149594,92629.41929,36535.05418,480451.1029,67612.80697,43864.16775,12773.54689,276958.604,138282.5498,19155.4399,22525.38672,172098.3437,88947.17891,41977.94261,38986.16168,59478.34193,62830.87206,17835.43245,80778.43361,91490.81884,133185.2543,74078.54873,40027.73017,81669.03072,13926.05119,25576.6847,39408.81452,17899.56177,120380.454,27960.97339,265960.1776,136178.4565,10130.20685,155832.4238,52574.60545,54783.96309,171446.1768,14179.59194,66500.10692,11551.34904,89153.6182,374141.7145,40817.52773,8357.781317,112817.9942,97621.02137,24517.92746,77401.89018,7842.333362,58
"(59,)",64383.2565,9822.273249,91512.55054,36535.05418,480451.1029,67612.80697,43864.16775,12619.53129,273619.2069,136615.2236,18924.47535,22253.78942,170023.2874,87874.70835,41471.79831,38516.09044,58761.18854,62073.29592,17620.38374,79804.45678,90387.67863,131579.3882,73185.355,39545.10034,80684.31561,13758.1394,25268.29671,38933.6472,17683.73982,118928.9802,27623.83712,262753.3928,134536.5001,10008.06302,153953.4919,51940.69309,54123.41164,169378.9839,14008.62312,65698.2894,11412.06996,88078.65853,369630.543,40325.375,8257.008314,111457.704,96443.96694,24222.30532,76468.62563,7747.775313,59
"(60,)",62019.70169,9461.690662,88153.06019,36535.05418,480451.1029,67612.80697,43864.16775,12156.25938,263574.4526,131599.9823,18229.7445,21436.83709,163781.6125,84648.76576,39949.33931,37102.13756,56604.02382,59794.5414,16973.52701,76874.77882,87069.48312,126749.0159,70498.66894,38093.37178,77722.33741,13253.06839,24340.6797,37504.36551,17034.55725,114563.0134,26609.74655,253107.5302,129597.5702,9640.659962,148301.7505,50033.91357,52136.50298,163160.9618,13494.35667,63286.4588,10993.12481,84845.22878,356061.1448,38845.00201,7953.887708,107366.013,92903.44081,23333.08739,73661.40839,7463.349011,60
"(61,)",61434.38183,9372.394595,87321.103,36535.05418,480451.1029,67612.80697,43864.16775,12041.53294,261086.9308,130357.9885,18057.69866,21234.52386,162235.8999,83849.88085,39572.31167,36751.9808,56069.8152,59230.22181,16813.3369,76149.26203,86247.75235,125552.8039,69833.32761,37733.8601,76988.82167,13127.99065,24110.96103,37150.41267,16873.79116,113481.8085,26358.61324,250718.7915,128374.4745,9549.674846,146902.1314,49561.71131,51644.45724,161621.1068,13367.00174,62689.18374,10889.37561,84044.48973,352700.7665,38478.39671,7878.821748,106352.7308,92026.65122,23112.87802,72966.21825,7392.912581,61
"(62,)",58840.63304,8976.693744,83634.4214,36535.05418,480451.1029,67612.80697,43864.16775,11533.14153,250063.8865,124854.2972,17295.3058,20338.006,155386.3288,80309.75364,37901.57563,35200.31864,53702.55747,56729.53227,16103.48078,72934.25359,82606.38742,120251.9866,66884.97681,36140.74317,73738.36716,12573.72919,23093.0005,35581.92878,16161.38267,108690.6265,25245.75722,240133.4882,122954.5268,9146.489255,140699.9493,47469.22458,49464.03734,154797.4921,12802.64928,60042.45743,10429.62809,80496.14616,337809.8022,36853.84557,7546.17928,101862.5372,88141.3022,22137.05638,69885.59735,7080.785112,62
"(63,)",56516.64377,8622.147253,80331.16838,36535.05418,480451.1029,67612.80697,43864.16775,11077.62473,240187.2798,119923.0102,16612.20463,19534.72933,149249.1385,77137.81281,36404.60235,33810.03511,51581.50334,54488.92373,15467.45233,70053.61797,79343.73798,115502.474,64243.26545,34713.31632,70825.97201,12077.11299,22180.91165,34176.57305,15523.06731,104397.7452,24248.64237,230649.0958,118098.2738,8785.236463,135142.8171,45594.36424,47510.38922,148683.5587,12296.99157,57671.0005,10017.69602,77316.84351,324467.5535,35398.25379,7248.132865,97839.34044,84660.04392,21262.72381,67125.37248,6801.120061,63
"(64,)",54242.46157,8275.199302,77098.70976,36535.05418,480451.1029,67612.80697,43864.16775,10631.87043,230522.3458,115097.4091,15943.7435,18748.66826,143243.4787,74033.85213,34939.71179,32449.54774,49505.90704,52296.33529,14845.05506,67234.71933,76151.01272,110854.7516,61658.1705,33316.48167,67975.99449,11591.14012,21288.37043,32801.33651,14898.43214,100196.8678,23272.89741,221367.9703,113346.0986,8431.72594,129704.7839,43759.68539,45598.61113,142700.6574,11802.17097,55350.36796,9614.592362,74205.67878,311411.2522,33973.85784,6956.474098,93902.3677,81253.39498,20407.1297,64424.30397,6527.448712,64
"(65,)",52507.81347,8010.562367,74633.12972,36535.05418,480451.1029,67612.80697,43864.16775,10291.86827,223150.3509,111416.6488,15433.87017,18149.09477,138662.6205,71666.28477,33822.35643,31411.82665,47922.7317,50623.92338,14370.31726,65084.58501,73715.73958,107309.6694,59686.37155,32251.03645,65802.15454,11220.46098,20607.57847,31752.36538,14421.98737,96992.61967,22528.64122,214288.728,109721.3443,8162.083357,125556.8866,42360.27148,44140.38925,138137.1583,11424.74316,53580.28954,9307.122274,71832.61649,301452.4686,32887.39004,6734.009367,90899.41468,78654.95009,19754.5194,62364.04539,6318.704009,65
"(66,)",51203.2052,7811.532066,72778.7962,36535.05418,480451.1029,67612.80697,43864.16775,10036.15668,217605.9609,108648.3926,15050.40048,17698.16266,135217.4113,69885.66543,32982.00672,30631.36892,46732.04429,49366.12221,14013.2726,63467.49447,71884.19952,104643.4551,58203.40494,31449.72772,64167.23528,10941.67759,20095.56291,30963.44663,14063.65891,94582.74263,21968.89497,208964.5137,106995.2096,7959.288368,122437.3023,41307.78887,43043.67786,134705.0047,11140.88418,52249.03454,9075.877666,70047.86448,293962.5855,32070.27048,6566.69628,88640.92931,76700.69048,19263.69894,60814.54934,6161.709593,66
"(67,)",49560.94193,7560.989309,70444.52937,36535.05418,480451.1029,67612.80697,43864.16775,9714.262548,210626.5877,105163.6641,14567.68227,17130.52158,130880.5228,67644.19128,31924.16009,29648.91535,45233.18657,47782.78052,13563.81865,61431.87318,69578.62549,101287.1789,56336.62114,30441.02656,62109.17089,10590.74028,19451.02895,29970.34218,13612.5889,91549.14809,21264.27679,202262.3016,103563.5045,7704.006558,118510.316,39982.90571,41663.11876,130384.5509,10783.55763,50573.22793,8784.782989,67801.18804,284534.1922,31041.66638,6356.079698,85797.9092,74240.63499,18645.84572,58864.01714,5964.082329,67
"(68,)",48930.66467,7464.834566,69548.67098,36535.05418,480451.1029,67612.80697,43864.16775,9590.724161,207948.0037,103826.275,14382.42189,16912.66902,129216.0868,66783.9454,31518.17361,29271.86365,44657.9463,47175.11652,13391.32462,60650.6307,68693.77899,99999.08781,55620.17609,30053.90141,61319.31507,10456.05553,19203.66599,29589.20282,13439.47464,90384.89769,20993.85437,199690.0879,102246.4649,7606.033033,117003.1946,39474.43441,41133.27982,128726.4223,10646.42078,49930.0772,8673.064995,66938.9456,280915.7091,30646.90276,6275.248052,84706.79855,73296.5007,18408.72245,58115.43065,5888.235799,68
"(69,)",50843.54593,7756.662651,72267.58662,36535.05418,480451.1029,67612.80697,43864.16775,9965.661159,216077.4628,107885.2294,14944.68413,17573.84801,134267.6232,69394.77766,32750.33598,30416.20943,46403.79115,49019.36689,13914.84119,63021.68893,71379.27373,103908.4232,57794.57518,31228.81995,63716.51465,10864.82155,19954.40856,30745.95457,13964.87358,93918.37875,21814.58204,207496.7145,106243.6586,7903.38109,121577.2836,41017.63654,42741.33238,133758.8158,11062.62888,51882.02921,9012.127291,69555.83739,291897.7466,31845.00392,6520.570785,88018.30165,76161.93291,19128.38772,60387.3785,6118.428787,69
"(70,)",37417.09489,5708.330863,53183.60662,36535.05418,480451.1029,67612.80697,43864.16775,7333.990625,159017.0548,79395.56123,10998.18382,12933.05427,98811.05466,51069.43139,24101.82859,22384.08383,34149.76326,36074.63384,10240.29547,46379.30875,52529.87394,76468.92563,42532.53907,22982.10516,46890.64917,7995.706265,14684.97102,22626.7519,10277.11562,69116.99067,16053.92132,152702.2578,78187.48639,5816.304799,89471.90199,30185.95124,31454.46408,98436.61005,8141.277855,38181.34189,6632.26012,51187.95946,214815.1842,23435.57106,4798.658539,64774.96965,56049.55789,14077.08069,44440.65082,4502.711727,70
"(71,)",36785.7784,5612.017577,52286.27113,36535.05418,480451.1029,67612.80697,43864.16775,7210.248545,156334.0542,78055.96695,10812.61798,12714.8425,97143.87426,50207.76712,23695.17271,22006.41044,33573.57453,35465.9679,10067.51703,45596.77814,51643.56849,75178.71073,41814.91273,22594.34171,46099.49102,7860.799448,14437.2002,22244.98412,10103.71593,67950.82062,15783.05302,150125.803,76868.27524,5718.169732,87962.29557,29676.64157,30923.75154,96775.74742,8003.914895,37537.13072,6520.357922,50324.29533,211190.7348,23040.15655,4717.693615,63682.05995,55103.86689,13839.56644,43690.83004,4426.740138,71
"(72,)",35670.7443,5441.908604,50701.393,36535.05418,480451.1029,67612.80697,43864.16775,6991.694708,151595.3261,75689.9693,10484.87073,12329.43587,94199.29248,48685.89168,22976.93521,21339.36194,32555.90731,34390.93931,9762.354949,44214.66895,50078.17168,72899.9272,40547.43775,21909.47211,44702.14381,7622.526403,13999.58623,21570.70408,9797.456603,65891.12566,15304.64416,145575.2566,74538.27838,5544.843123,85296.02171,28777.09645,29986.40458,93842.32414,7761.303798,36399.32196,6322.715742,48798.88775,204789.2154,22341.7736,4574.692991,61751.75776,53433.58306,13420.06768,42366.4931,4292.558766,72
"(73,)",36321.35406,5541.165262,51626.15143,36535.05418,480451.1029,67612.80697,43864.16775,7119.218395,154360.3203,77070.50212,10676.10753,12554.31627,95917.42258,49573.88875,23396.01865,21728.57718,33149.7046,35018.20631,9940.413567,45021.114,50991.56298,74229.57157,41286.99503,22309.08576,45517.48007,7761.556024,14254.92902,21964.13884,9976.155451,67092.93433,15583.79031,148230.4489,75897.80514,5645.977235,86851.7623,29301.97083,30533.33591,95553.94338,7902.864624,37063.22047,6438.037715,49688.94579,208524.4294,22749.27213,4658.132234,62878.06721,54408.17475,13664.84045,43139.2287,4370.852076,73
"(74,)",31486.90393,4803.624279,44754.59993,36535.05418,480451.1029,67612.80697,43864.16775,6171.635155,133814.6305,66812.25296,9255.094719,10883.30985,83150.60788,42975.49782,20281.95838,18836.45695,28737.40781,30357.20793,8617.323198,39028.70715,44204.47656,64349.45636,35791.60743,19339.69859,39459.00583,6728.476268,12357.56739,19040.66485,8648.307761,58162.72085,13509.55439,128500.6582,65795.64447,4894.485554,75291.60643,25401.81566,26469.2834,82835.50855,6850.97639,32130.02632,5581.121085,43075.24052,180769.3806,19721.29521,4038.124842,54508.86159,47166.32998,11846.02088,37397.30482,3789.082289,74
"(75,)",28597.89716,4362.87904,40648.24695,36535.05418,480451.1029,67612.80697,43864.16775,5605.371298,121536.784,60682.05194,8405.915286,9884.737366,75521.31956,39032.38217,18421.03503,17108.16218,26100.67459,27571.85377,7826.66099,35447.71999,40148.59886,58445.22345,32507.63273,17565.23006,35838.53763,6111.120765,11223.72788,17293.63346,7854.802637,52826.13729,12270.01702,116710.3827,59758.71997,4445.403552,68383.40229,23071.13185,24040.6566,75235.13142,6222.381176,29182.01138,5069.038455,39122.97321,164183.3115,17911.81419,3667.616201,49507.52929,42838.69438,10759.11711,33966.00313,3441.423962,75
"(76,)",26851.54658,4096.456781,38166.03333,36535.05418,480451.1029,67612.80697,43864.16775,5263.07538,114115.0554,56976.46001,7892.602192,9281.118968,70909.55738,36648.84246,17296.14164,16063.44029,24506.81865,25888.15924,7348.720464,33283.08018,37696.8966,54876.22501,30522.53141,16492.59701,33650.03227,5737.940903,10538.34309,16237.58564,7375.143622,49600.27228,11520.73985,109583.3816,56109.51195,4173.941876,64207.52202,21662.27705,22572.5971,70640.84552,5842.407119,27399.99145,4759.494078,36733.90149,154157.3428,16818.01673,3443.650654,46484.3174,40222.71956,10102.1041,31891.84541,3231.271001,76
"(77,)",25052.43693,3821.985629,35608.82946,36535.05418,480451.1029,67612.80697,43864.16775,4910.438348,106469.1085,53158.91831,7363.781377,8659.264631,66158.46908,34193.29354,16137.26406,14987.15627,22864.81066,24153.59856,6856.34086,31053.04436,35171.12587,51199.40344,28477.45812,15387.5586,31395.40989,5353.48689,9832.252113,15149.63352,6880.993611,46276.95054,10748.82624,102241.0664,52350.05758,3894.279061,59905.48407,20210.85929,21060.18599,65907.76148,5450.953651,25564.13485,4440.598044,34272.65345,143828.4792,15691.17452,3212.918875,43369.77114,37527.71342,9425.242049,29755.02522,3014.769102,77
"(78,)",23763.37172,3625.326568,33776.58841,36535.05418,480451.1029,67612.80697,43864.16775,4657.773297,100990.7743,50423.643,6984.880338,8213.704911,62754.306,32433.88845,15306.92625,14215.99689,21688.30907,22910.78279,6503.550012,29455.2198,33361.40672,48564.95434,27012.15953,14595.79664,29779.96902,5078.024917,9326.336694,14370.11392,6526.934263,43895.78471,10195.74879,96980.28468,49656.40194,3693.900165,56823.06635,19170.91592,19976.54079,62516.49848,5170.476557,24248.74039,4212.108477,32509.16491,136427.8303,14883.7901,3047.599151,41138.1933,35596.73681,8940.269203,28223.98982,2859.645112,78
"(79,)",21665.73584,3305.312423,30795.06775,36535.05418,480451.1029,67612.80697,43864.16775,4246.623209,92076.13563,45972.65667,6368.312294,7488.666296,57214.8697,29570.89035,13955.75614,12961.12509,19773.84273,20888.40648,5929.469868,26855.15417,30416.5349,44278.03783,24627.74726,13307.39923,27151.23719,4629.778456,8503.084055,13101.63793,5950.78995,40021.02425,9295.751573,88419.65923,45273.14137,3367.832904,51807.19133,17478.66444,18213.17534,56998.05388,4714.069223,22108.26014,3840.29803,29639.52202,124385.0985,13569.97098,2778.582052,37506.85044,32454.54835,8151.095442,25732.6071,2607.219057,79
"(80,)",20439.79174,3118.283083,29052.54527,36535.05418,480451.1029,67612.80697,43864.16775,4006.3303,86866.05662,43371.31841,6007.96474,7064.924109,53977.39682,27897.63729,13166.07712,12227.72674,18654.95039,19706.44714,5593.953979,25335.5696,28695.4315,41772.58868,23234.19932,12554.40714,25614.89892,4367.804912,8021.94158,12360.28874,5614.067675,37756.45595,8769.756429,83416.47998,42711.38481,3177.265876,48875.70904,16489.64354,17182.59253,53772.84941,4447.326131,20857.27603,3622.996815,27962.38548,117346.8341,12802.12141,2621.357469,35384.54531,30618.12505,7689.870054,24276.54125,2459.690957,80
