iter,incidence(millions),beta_H1,beta_H3,beta_B,susceptibility_H1_0,susceptibility_H1_5,susceptibility_H1_25,susceptibility_H1_65,susceptibility_H3_0,susceptibility_H3_5,susceptibility_H3_25,susceptibility_H3_65,susceptibility_B_0,susceptibility_B_5,susceptibility_B_25,susceptibility_B_65,vac_eff_hospitalization,vac_eff_mortality,prob_hosp_scaling,prob_death_scaling
600,29.057546269041996,0.0017961025453108181,0.0022275764559657185,0.0017295353598359431,0.64487325177992127,0.85149416268338329,0.68577261288439884,0.8163889156115417,0.9542732345632805,0.66232161960856617,0.49663923239613061,1.0,0.69322520145312672,0.86508856536671308,0.73450266312873014,0.69934086270231322,0.66299484270476405,0.36315894440067398,0.00032905478724432058,2.3264940061662465e-05
601,28.94648283048427,0.0022615063353356724,0.0015076639429966732,0.0013987736626797087,0.84578549316104734,0.51742164441144212,0.53708576624259619,0.79084976434215426,1.0,0.87760250754083358,0.78514854184399652,1.0,0.90412430240808583,0.92498496995445323,0.93379809197836072,0.47996827849584206,0.44817727541060987,0.2375911533244221,0.00070580480199156082,4.3926273787464609e-05
602,28.98745815543475,0.0023794587416174906,0.0016359536201671077,0.0015783472801084164,0.66386062399672185,0.48096495047905824,0.49469272972641359,0.6415743466140722,0.79216541430974052,0.79628190045248759,0.62909619603380162,1.0,0.5111899348645097,0.82886513903524983,0.68398171522445428,0.93515938776234753,0.98356743561287097,0.91179808018091468,0.00036542917872356417,7.2810961776470506e-05
603,29.637019016241105,0.0021033507135519991,0.0029630364279371046,0.0019148566690309621,0.83776100286494126,0.68236629258450732,0.78407762109255885,0.6199129874017868,0.90125335637338888,0.54556532578861328,0.39970799486969649,1.0,0.66141185907070454,0.9716467685078306,0.61807250448726336,0.62614205423112868,0.071946606404798941,0.40314706647452853,0.00014901794490479459,4.8730973373267705e-05
604,28.97352884337825,0.0027785815928461632,0.0020804788872600954,0.0020647198367473307,0.84173286635206601,0.45449939675619461,0.41079196529073614,0.66448386783900248,1.0,0.66921099719259702,0.50086167972269446,1.0,0.61860349244789226,0.71537019695508908,0.49498267678249341,0.67647371138397927,0.095067639973058393,0.4904681625613434,0.00022191108280517069,1e-08
605,29.148059121915935,0.002403825893404099,0.0020723599100365697,0.0018036791881418379,0.76661427871684262,0.61389569662586607,0.53656712179541477,0.72370857840363811,0.93541136859833818,0.76842715094496161,0.54770252728274027,1.0,0.54216646359381337,0.9024927820001627,0.64563915340829925,0.75955620757322762,0.23035901111624402,0.8569018324425437,0.00019671532611353904,3.4340331771576249e-05
606,28.058823235354264,0.0019155606455298901,0.0023892412437133692,0.0019108349855319617,0.41763490781762669,0.87948548592290043,0.7499945437397163,1.0,0.98957171108388775,0.66533178768860457,0.51985701476280644,1.0,0.78158013382245284,0.96070411273152134,0.55148106868413138,0.41294449327191202,0.27032369055923422,0.78869351513243191,0.00048684634798651372,7.6303357440687947e-05
607,29.11778061770497,0.0014663468358880882,0.0026194247275043714,0.0020421955065969,0.6642184516170524,0.91898779125933239,0.9338388644929827,0.69439184380568875,0.61334925404682639,0.54678284918299058,0.40283775382648329,1.0,0.57994792747254209,0.73623778935357764,0.50713590526357744,0.99986036791718347,0.34888048000622174,0.29620869062844712,1e-08,1.7954686711896262e-05
608,28.82725229979884,0.0019669485116305396,0.0029023459965389353,0.0019406806113914099,0.90168681359814484,0.71169893043836996,0.75158331770048148,0.74154498046566064,0.80317055289783035,0.50910970304601022,0.40191816021486065,1.0,0.98613167642530364,0.81696259581979191,0.61544591863404152,0.69379238969955637,0.82227139628030765,0.89953324611273378,0.00032954733049750384,4.1503553734278942e-05
609,29.29955237035009,0.002068451824574713,0.0039253527613630212,0.0020366361027690516,0.94229929252510169,0.68471158795337561,0.68754507293653322,0.97311313375353703,0.71994713907671881,0.37226989237608499,0.26309324639546849,1.0,0.52647512087400739,0.8814092957553713,0.50589703803555819,0.80180770618138508,0.18768359793290718,0.31883105529738009,0.00015910933046159315,3.8638833331827716e-05
