iter,incidence(millions),beta_H1,beta_H3,beta_B,susceptibility_H1_0,susceptibility_H1_5,susceptibility_H1_25,susceptibility_H1_65,susceptibility_H3_0,susceptibility_H3_5,susceptibility_H3_25,susceptibility_H3_65,susceptibility_B_0,susceptibility_B_5,susceptibility_B_25,susceptibility_B_65,vac_eff_hospitalization,vac_eff_mortality
3000,26.23287737769224,[0.0021863466766672834],[0.0012329771857066407],[0.0015063758950827344],[0.80499279437086668],[0.49733145028746611],[0.50109234374077183],[0.72655512195386973],[0.85123193912234529],[0.95280021933048065],[0.82404811963804947],[1.0],[0.63795969738470548],[0.83026107077679423],[0.64707481820118873],[0.65867049374002051],[0.0021863466766672834],[0.0012329771857066407]
3001,25.16374723122314,[0.002186295077571454],[0.002207450273740974],[0.0014580920199029901],[0.90821012062450091],[0.58266413656327687],[0.57628851527645464],[0.84562412575367651],[0.82595479553122741],[0.59948279821501194],[0.50389024349646971],[1.0],[0.81500793891885093],[0.99999235589274105],[0.82209687288755395],[0.73439607485525715],[0.0017884617678469716],[0.0014936860165480903]
3002,25.568899747607304,[0.0014137894472138757],[0.0026264130132512276],[0.0014285004377614374],[0.71249648403032007],[0.72486268750538385],[0.8494554143180113],[0.49585973239291908],[0.55766016628709869],[0.38426778250280191],[0.30680694364002403],[1.0],[0.75149452815192674],[0.79820002144461011],[0.61722081633036008],[1.0],[0.0013412201223045872],[0.001768004588862282]
3003,27.49823083748399,[0.0014928800097599448],[0.0016476063855367373],[0.0020650627465558236],[0.79346374432899769],[0.75626278964917604],[0.9967766174580166],[0.99923562830412793],[0.94046764927588022],[0.76517565925905517],[0.7355618391404235],[0.81942610968601692],[0.73028431719804743],[0.67697301023640244],[0.49327416620137249],[0.99648250995053322],[0.0018262172594696868],[0.0014576107977506414]
3004,26.20615640283629,[0.0015663029130949524],[0.0016823521545230591],[0.001966774275033889],[0.99130805800156918],[0.79482980115067048],[0.83520296177369735],[0.58936250401096224],[0.84981052925099443],[0.75214143436477177],[0.66164634977091796],[1.0],[0.53366299062678069],[0.67022776896657121],[0.60714713046216851],[0.64176317207307121],[0.0015663029130949524],[0.0016823521545230591]
3005,25.386731211800356,[0.0015661072848128788],[0.0017689867368375078],[0.0018552235514299742],[0.80232258377589516],[0.83690442752321847],[0.95938247333141913],[1.0],[0.99451551662492355],[0.75356116698115039],[0.71689009894461164],[1.0],[0.99536129278647212],[0.79437215939809747],[0.55752537434904614],[1.0],[0.0019840051515856438],[0.0024276986251213217]
3006,26.39328364782058,[0.0020879865700790812],[0.0025325279643861331],[0.0020745166431049289],[0.9033290032951975],[0.69208295722794833],[0.69793666501916762],[0.53684174934304252],[0.88810392902539526],[0.55166770215941419],[0.43989741083320527],[1.0],[0.77394182346872142],[0.78037248766411094],[0.44580975644301502],[0.88954073931685396],[0.0025451410029627142],[0.0017108242925968353]
3007,26.135761225363638,[0.0021320035885393218],[0.0023047775173597462],[0.0013316899079574562],[0.91681565373141172],[0.53828015200894352],[0.54859700143354317],[0.7073797355110012],[0.99999355683026492],[0.51004088997472929],[0.40607530006797665],[1.0],[0.75743392681462596],[1.0],[0.72427087602109042],[0.82151698194165768],[0.0016841946184948386],[0.0017775470221846335]
3008,25.97898884479904,[0.0019430584396304962],[0.0021558378514248133],[0.001746780468953435],[0.39125119526334168],[0.57772983484184959],[0.67904112102493663],[0.73573855129954513],[0.6384884931060153],[0.53506893909552866],[0.47346660345496161],[1.0],[0.85456283972896163],[0.6460823691594999],[0.66436269900766765],[0.63083717926960436],[0.0019430584396304962],[0.0021558378514248133]
3009,26.83426601537101,[0.0016468754504851968],[0.0024715476575939421],[0.001781008116182925],[0.84034728620462651],[0.86695791778768228],[0.86127629821675389],[0.61930733336545885],[0.92002054016648926],[0.55518531773339486],[0.43156860238901767],[0.97097595626305755],[0.47951596246295203],[0.82103361538082364],[0.69132818779418226],[0.7077663343402627],[0.0016772899641900318],[0.0020146246443238924]
