iter,incidence(millions),beta_H1,beta_H3,beta_B,susceptibility_H1_0,susceptibility_H1_5,susceptibility_H1_25,susceptibility_H1_65,susceptibility_H3_0,susceptibility_H3_5,susceptibility_H3_25,susceptibility_H3_65,susceptibility_B_0,susceptibility_B_5,susceptibility_B_25,susceptibility_B_65,vac_eff_hospitalization,vac_eff_mortality
500,26.00023748,[0.0019532799019491009],[0.002099801895404263],[0.0013907669866679018],[0.67515427106920589],[0.64419099118928524],[0.71626083556386189],[0.75603481072747836],[0.74876250742490935],[0.60257983623847977],[0.55632684906738672],[1.0],[0.99831576366399388],[0.99998632121219277],[0.83225771974039153],[0.74040806511242052],[0.0019532799019491009],[0.002099801895404263]
501,26.24614017,[0.0019137688001353292],[0.0018251936964769899],[0.0019152526102881873],[0.8827280345625711],[0.58094904376703815],[0.66872192957496679],[0.77117307741923358],[0.89229471826718398],[0.67311396455008954],[0.57860283984066485],[1.0],[0.56257604112187665],[0.70376063002342693],[0.50169790537045889],[0.99524370871657974],[0.002027887239045234],[0.002791962779824575]
502,25.65952784,[0.0015120635779329872],[0.0021021970624759412],[0.002770622276014878],[0.72371787106773999],[0.93271320462172103],[0.98640932283788141],[0.9956555588747158],[0.72980232792306232],[0.66399663194863201],[0.57586514200583039],[1.0],[0.54758928366029447],[0.56638119181027802],[0.40240657834871879],[0.7226584799519008],[0.0016971412906682248],[0.0021941594199684222]
503,25.99105833,[0.00260791625596829],[0.0023042530837429354],[0.0016205796339799905],[0.4958316986661731],[0.49881695115816299],[0.56358302868552124],[0.63138013289415273],[0.81024227474240595],[0.5156091751667865],[0.53743413490107628],[1.0],[0.86440536665901513],[0.76034471405553195],[0.86174323167420086],[0.9996870798516716],[0.0016612371441017681],[0.0019080293236754531]
504,25.85089414,[0.0013684914525247671],[0.0017537677860829937],[0.0015495438294687025],[0.93807533482184158],[0.75415451472798956],[0.97299708571982846],[0.50770350298660727],[0.6171567870740633],[0.65054274375779886],[0.58361742125001781],[1.0],[0.57522938810056279],[0.87062886287978369],[0.56238183552938592],[0.6093069909815314],[0.0014315499272702925],[0.0014059154765957982]
505,27.39998772,[0.0022240234165224471],[0.0024902493999625075],[0.0020972970817363379],[0.57906817561108748],[0.50626511689626497],[0.61847654339268232],[0.62430970727669466],[0.68831213842010752],[0.48338596769592246],[0.39356276174130528],[1.0],[0.65447965864525171],[0.63754077390277586],[0.44644658363669026],[0.97185718547075506],[0.0017344536110188158],[0.0015762174806659424]
506,26.62502894,[0.0012814202784472428],[0.0018373216464814268],[0.0013031097349043286],[0.72848102061732412],[0.79353816735761318],[0.92933522497571575],[0.3376079523105881],[0.65530803284642269],[0.52399360497532677],[0.50671312723452466],[0.99809935919903736],[0.45992159758769657],[0.88018763582487536],[0.76986979796979682],[0.61367236318975893],[0.0018888703418343256],[0.0012895660934677533]
507,26.67125343,[0.0018548035838793497],[0.0019120304402452937],[0.0013385255235129345],[0.71167547737063763],[0.59453808925266127],[0.66427449988930332],[0.88868094317346424],[0.80081990047341889],[0.55809155799956189],[0.54661762705157013],[1.0],[0.47521171484551666],[0.93140355236691186],[0.76647879038312117],[0.67567457228566419],[0.0018548035838793497],[0.0019120304402452937]
508,27.37042059,[0.0018442792622004323],[0.0024912748605566692],[0.0022329976847166311],[0.9000214120292136],[0.65479246097493915],[0.84034819016259421],[0.64067052116908563],[0.95586387371568859],[0.52038509739818362],[0.44716448930004443],[0.98120453432589039],[0.52415216760077366],[0.64588711475826899],[0.57453558143857764],[0.55162473148909086],[0.0019543898660513981],[0.0016051927513653919]
509,25.92065911,[0.0015647817139756159],[0.0025587937528173121],[0.0016857481249669681],[0.9378778866545272],[0.75467577457326074],[0.89105956678155107],[0.98808314948299802],[0.62132775476376212],[0.49219326914388867],[0.43614601898775507],[1.0],[0.51322664360690695],[0.83492679488257804],[0.68821612386935649],[0.87565428797852807],[0.0019061645366103552],[0.0016866832354809347]
510,26.09929421,[0.001815359946510775],[0.0014499892874586529],[0.0018245029654599954],[0.91774531861722741],[0.59716691780096254],[0.64154548276550138],[0.83921632457949191],[1.0],[0.80658455852176858],[0.73343397782508435],[1.0],[0.94462442180008788],[0.69594082562291426],[0.47874849953472204],[0.92565837780835136],[0.001815359946510775],[0.0014499892874586529]
511,26.27742034,[0.0014394530298838526],[0.0020910629284820459],[0.0029438097382501471],[0.82880915461982574],[0.84092635098350932],[0.96058865997634446],[0.99878086850317194],[0.95578447904589603],[0.57237322110039091],[0.48422864810059102],[1.0],[0.56852159234478783],[0.46431623167013464],[0.30384898788093484],[0.7189010320428193],[0.0014394530298838526],[0.0020910629284820459]
