iter,incidence(millions),beta_H1,beta_H3,beta_B,susceptibility_H1_0,susceptibility_H1_5,susceptibility_H1_25,susceptibility_H1_65,susceptibility_H3_0,susceptibility_H3_5,susceptibility_H3_25,susceptibility_H3_65,susceptibility_B_0,susceptibility_B_5,susceptibility_B_25,susceptibility_B_65,vac_eff_hospitalization,vac_eff_mortality
4100,25.84199417075241,[0.0017492866999971879],[0.001930347533565635],[0.0015178185166779823],[0.82500379039958627],[0.61793454082951005],[0.6925078273171581],[0.8369912077286572],[0.96483328050382777],[0.58134528028995303],[0.45596981477819731],[1.0],[0.76204173174121537],[0.88308257045782002],[0.56685283157036637],[0.52367538739230257],[0.0014558306509110941],[0.0016923090302783383]
4101,27.598936749536634,[0.0015847687073561878],[0.0018229871877636916],[0.0017768184841625012],[0.51184872391050928],[0.68018182588054932],[0.85577920228079651],[0.84297880403766934],[0.86122996521335526],[0.60656565920829797],[0.51420800178003734],[1.0],[0.90855454716084461],[0.60844208520488263],[0.57600459216754851],[0.82749949117523214],[0.0015345565472394407],[0.0016784134502290105]
4102,25.877243870545765,[0.0016152940261661697],[0.0014951862063568022],[0.0017588824858991159],[0.95505379268253066],[0.74212972356454388],[0.8942266770025058],[0.97910487544868652],[1.0],[0.84692609388486306],[0.80945869554678174],[1.0],[0.90749717374307737],[0.77957030683048589],[0.6250989238249236],[0.66897082588192069],[0.0017393475137257863],[0.0016655147363318634]
4103,26.47805071699813,[0.0016475988952623366],[0.0016051453640414381],[0.0015428400222979866],[0.94376507301220069],[0.74575695217476667],[0.73380486678613555],[0.68612499569488361],[1.0],[0.75599673621196573],[0.65775818183660639],[1.0],[0.81863362835633224],[0.84031772591350662],[0.73563290754237243],[0.57161971552862079],[0.0011158867084746782],[0.001351380910010358]
4104,26.31224583705765,[0.0020326072011325191],[0.0028783224315637179],[0.0015614862810421903],[0.95267400125415547],[0.60770460072065213],[0.67497068910634928],[0.7428734812491673],[0.67899873891793172],[0.44340501976299662],[0.36648700806220358],[1.0],[0.59616893832353313],[0.94369920587889577],[0.67428362352759819],[1.0],[0.0027684132832522801],[0.0015602150296639139]
4105,26.307732048382757,[0.0021688517437034593],[0.0020355055245468434],[0.0020506539033578464],[0.9499312979810639],[0.73302271681318065],[0.54032999884173671],[0.73834700024426692],[0.97584333783006261],[0.70240843109892526],[0.60182586294777018],[1.0],[0.63362862552047572],[0.74820419285956552],[0.62844815012933564],[0.44242504105320762],[0.002626072520540812],[0.0015530755241535688]
4106,25.532852488808757,[0.0015264679007676585],[0.0024414290909290925],[0.0023799735450689141],[0.95401885464528768],[0.73661048026848563],[0.95045104724620022],[0.65996370016711303],[0.82629430947906801],[0.5221552205516854],[0.42110285776362205],[1.0],[0.86923212294034258],[0.55173796534436437],[0.44092364159228609],[0.78129933636815774],[0.0015264679007676585],[0.0024414290909290925]
4107,25.803894640931407,[0.0027610494158886723],[0.0019015115597639243],[0.0031010922987226297],[0.74590147116654182],[0.50729416343903244],[0.49297208563140743],[0.66569953369205304],[1.0],[0.74990735491767802],[0.63261640443129874],[1.0],[0.751226736081408],[0.50054544067656603],[0.30452162757977363],[0.90004644968100533],[0.0027610494158886723],[0.0019015115597639243]
4108,27.402811350541306,[0.002312417765946817],[0.0015816103415504101],[0.0024887741252686557],[0.84507729613493321],[0.4744366033845373],[0.60009718966083359],[0.68548277905877708],[0.92757819243664852],[0.78054047635886414],[0.78407773272700554],[1.0],[0.77948281101994366],[0.51482797625303844],[0.46170808516448736],[0.67913821654562745],[0.002312417765946817],[0.0015816103415504101]
4109,25.87705410783949,[0.0023524528091455332],[0.0023566593448856032],[0.0017311488808200992],[0.73965702234284481],[0.51123265609295399],[0.51595991999113577],[0.81694898363738011],[0.68659618769862851],[0.52661997630834256],[0.43963494285041627],[1.0],[0.57154303171923737],[0.76533071146687559],[0.70037013815806315],[0.46198233224788426],[0.0023524528091455332],[0.0023566593448856032]
4110,26.32742211468466,[0.0021804800893241438],[0.002988071648119428],[0.0020525676718157748],[0.99436925160552858],[0.6329617748644405],[0.67100906741806821],[0.79747472240812978],[0.8847645906627859],[0.4856321738888712],[0.34707766581569566],[1.0],[0.72076727522445039],[0.81653047031506776],[0.53292664693184921],[0.99490310869768073],[0.0020641163821202291],[0.0032486701820392816]
4111,25.82150060405986,[0.0017904705555876754],[0.0032077891278282644],[0.0027569134273418006],[0.76898336105991982],[0.65969115814692125],[0.69970564556125492],[0.7727721913428971],[0.7063217709303109],[0.36128542344441944],[0.25937926678697976],[1.0],[0.74151881039127743],[0.48425521713247699],[0.31986498335480751],[0.4513348681744222],[0.0017904705555876754],[0.0032077891278282644]
4112,26.18907010542609,[0.0017657245525690146],[0.0022473533425994563],[0.0016779213577161056],[0.96173980155611227],[0.58489976125964482],[0.71471330419909929],[0.88930190056869751],[0.88588432784968241],[0.46655314321268954],[0.4568945835913456],[1.0],[0.7562289640430454],[0.78692557045573175],[0.56025883357527184],[1.0],[0.0015884604467163443],[0.0012325011431539301]
4113,26.14842994519383,[0.0014629562600642632],[0.001710302621686477],[0.0014036026684176584],[0.921572881003484],[0.8271677429059241],[0.95423297774289617],[0.99912577534361258],[0.98552609331745145],[0.71373910059317824],[0.70229650083215944],[0.9223924787673482],[0.89324285698945105],[0.98682498112916039],[0.76820764278276144],[0.99987695673248744],[0.0017299866645699158],[0.0015433530342824908]
