iter,incidence(millions),beta_H1,beta_H3,beta_B,susceptibility_H1_0,susceptibility_H1_5,susceptibility_H1_25,susceptibility_H1_65,susceptibility_H3_0,susceptibility_H3_5,susceptibility_H3_25,susceptibility_H3_65,susceptibility_B_0,susceptibility_B_5,susceptibility_B_25,susceptibility_B_65,vac_eff_hospitalization,vac_eff_mortality
2000,25.328242830522495,[0.0023910855911148943],[0.0019103590271324911],[0.0017751889539982524],[0.65394879880948564],[0.66097159874009259],[0.42784983674637589],[0.79514537574625432],[0.44849460432581911],[0.74258366620075122],[0.66127874041555568],[0.9552178088049772],[0.67597611435065597],[0.81396378352010279],[0.70271565133412084],[0.6022747711537213],[0.0023910855911148943],[0.0019103590271324911]
2001,27.57628290414408,[0.0018535385650878533],[0.0026897620298365621],[0.0023434896978395403],[0.64018819589751097],[0.65844014360315839],[0.82801394359055269],[0.43726917263380133],[0.74868820671869174],[0.46290665980094287],[0.37599509625709332],[1.0],[0.86897069776426306],[0.56841959412263099],[0.39015839486406068],[0.98036537102705013],[0.0020780161075393822],[0.0021085540304012773]
2002,26.168143524306874,[0.0021660902934191872],[0.0025626113492838165],[0.0021203227834419858],[0.76426462492883374],[0.66584814873725717],[0.63128349087304458],[0.69313399446585744],[0.83895526893737227],[0.52140538564259242],[0.43371434267086884],[1.0],[0.71939387914832165],[0.71390879966826248],[0.50133192724065545],[0.91515194403670042],[0.0017918555464446762],[0.0016705635791787188]
2003,26.029446963439582,[0.0024278926982428395],[0.0024339926238777232],[0.0019270923107096993],[0.75785693859088354],[0.45878340396612899],[0.54538821420059858],[0.76950161492201063],[0.88946191062719904],[0.46646952563805322],[0.40564348119418459],[1.0],[0.92624341869517601],[0.63228162028737989],[0.62546612970542836],[0.43687920546005882],[0.0019526032857485887],[0.0017099953615963837]
2004,26.49363096680044,[0.0014207643666321323],[0.0015759917846963623],[0.0023669100619872485],[0.98963700727479931],[0.70928229236728035],[0.95392286069004584],[0.63711798592032398],[0.81945396821646099],[0.69201579679491254],[0.70216620444853983],[1.0],[0.57790066340448987],[0.55252702635910833],[0.36266906536141313],[0.75637891900248211],[0.0022741068525437003],[0.0012129144593953645]
2005,25.563651510177852,[0.0016790646976129753],[0.002453566643240368],[0.0013701975255511201],[0.58159507832493929],[0.70945484469153208],[0.84790594094755645],[0.54291370244869086],[0.68509059938234029],[0.5139735784355165],[0.38074751982047456],[0.99839026696461319],[0.99720201553579346],[0.99999512572445326],[0.72150176565439705],[0.83036548134836119],[0.0021307653677320459],[0.001602870710310178]
2006,26.029701151765316,[0.0021357606894113479],[0.0016255477173591215],[0.0016385442327479516],[0.71443648355690947],[0.56972008606348723],[0.64262749428752808],[0.53504538679660041],[0.88371763475954612],[0.74900388871560997],[0.70120070687977276],[1.0],[0.69232904507809911],[0.85505570824016575],[0.60362095718092412],[0.63460468397729997],[0.0020359571347767225],[0.0015315800472884278]
2007,26.145387752768624,[0.0021771908695577546],[0.0020825742007939962],[0.0021621232316887395],[0.97900493105340658],[0.67611499949489151],[0.67915125782415375],[0.83415221665544559],[0.6769342505726379],[0.75980557310900232],[0.60524784809904886],[1.0],[0.96661107898517939],[0.78831064231365311],[0.52350976230226909],[0.73392533466669108],[0.0021771908695577546],[0.0020825742007939962]
2008,24.909897636625942,[0.0020366282292246796],[0.0024527167522404025],[0.0017418568587193595],[0.98205714817748246],[0.59595088988388678],[0.64771823491569513],[0.83642122843799105],[0.94262032827398023],[0.54997349816445484],[0.39366640915307749],[1.0],[0.96731360407726386],[0.806874687185967],[0.63513333254338211],[0.61444984961986338],[0.0015640639790713284],[0.0014341214966133164]
2009,25.38424729213485,[0.0021582667961910218],[0.0025803549062244358],[0.0017110547413179966],[0.9964232138522735],[0.62523544152019694],[0.48533470349844327],[0.91812413720493291],[0.882412407362408],[0.47042666303683167],[0.40511335789799452],[0.97048850503004402],[0.60856138449967834],[0.81822977819702869],[0.70085024497743731],[0.59600369362996874],[0.0019854787455920175],[0.0013814478500651095]
2010,25.678519433182732,[0.0013401897679076735],[0.0019106483238458538],[0.0013228151074864969],[0.99842441160877127],[0.83826247156075517],[0.76481889291894301],[0.99979928520616301],[0.76756776094260348],[0.56672583852376379],[0.47141688362728346],[1.0],[0.87645243587452792],[0.85689681339907076],[0.76323229234097256],[0.81312126725524492],[0.0015399818495931417],[0.0015986583718963221]
2011,26.428423540875066,[0.0017002481740430175],[0.0025378861313024581],[0.0014474360456169233],[0.8641676722827446],[0.88655856274251632],[0.67487597004704258],[0.80158969508103128],[0.78606294994776316],[0.50566862934291268],[0.42703396530966109],[0.94526273793867466],[0.40260986776427193],[0.97666718457600665],[0.8801216053338784],[0.64092872831540237],[0.0017002481740430175],[0.0025378861313024581]
2012,25.63437599699289,[0.0019557328170025645],[0.00181692154108265],[0.0015308050471409818],[0.46583022415294839],[0.59562414170062117],[0.80769056968474029],[0.97271820227120476],[0.75477754697684196],[0.74122003017333227],[0.69220610982698993],[1.0],[0.44857257555332514],[0.87136935129332826],[0.91387357692684423],[0.89074484404952958],[0.001762863671374626],[0.0016002390797975607]
2013,25.558856685506623,[0.0013633430790351841],[0.0020585907538770987],[0.0014315386721851509],[0.79738749182682156],[0.84652853225121261],[0.99999541348880494],[0.74550442699227326],[0.848832577606359],[0.56847340295633375],[0.51294213316316994],[0.97997781506686454],[0.96380941963150302],[0.86289481308436322],[0.84294355226253481],[0.54890698561551421],[0.0014554905895349801],[0.0012788049405401125]
2014,27.229824805582815,[0.0015695061671127108],[0.0026407374337332756],[0.0013635646347794905],[0.87343213825670696],[0.67552167228298654],[0.90217056680644658],[0.76360011946825723],[0.77441689773995659],[0.42402699901190394],[0.32082324471196755],[0.7994721148907411],[0.43864820687535083],[0.89508135729513161],[0.92333290956124048],[0.90912822094660162],[0.0014915861692054166],[0.0013539725782316103]
2015,26.74629391193517,[0.0029012694993049704],[0.0028693399132208031],[0.0022877900422982878],[0.7249356823216172],[0.46536773261035685],[0.51003231352141087],[0.6754601754754419],[0.91968370060973959],[0.47083117236967142],[0.37618780109080135],[1.0],[0.52660312689119104],[0.72015448839035456],[0.49062270510386807],[0.71953184067450582],[0.0020024741786034972],[0.0017688279207856983]
2016,26.323439750611055,[0.0016430327669650358],[0.0018892083690561501],[0.0020882146418550462],[0.45139929185709043],[0.75222587546168374],[0.77361038306157659],[0.89847417111285421],[0.99924470307630953],[0.59604491235007051],[0.51862060072302207],[1.0],[0.60400632245365082],[0.61066333681750185],[0.48820291449997949],[0.97120499419987127],[0.00173280038306034],[0.001664006796239681]
2017,25.91668643542915,[0.0017917829785691897],[0.0027424945596445927],[0.001968966418314344],[0.64417687279540592],[0.820278270582814],[0.729981527766976],[0.72842890159771145],[0.74266086719997104],[0.46861585429349811],[0.38407987278154343],[1.0],[0.63164520223134757],[0.76064124873884564],[0.51189627670867721],[1.0],[0.0017098150814461865],[0.0020800522956353484]
2018,25.53339604199748,[0.0016713278733853087],[0.0018908327644158174],[0.0018078329414490391],[0.89648623908353342],[0.69661752622291639],[0.88399997534734642],[0.7568268702158063],[0.99999773983440354],[0.69066009354661806],[0.59937911614599404],[1.0],[0.86616518746408389],[0.80698878055446521],[0.54952516862817713],[0.99999558432063707],[0.0018242056178072175],[0.0015897732508010631]
2019,26.816781843048084,[0.002595065802921237],[0.0026171189676986173],[0.0016040372086841836],[0.79184015901292115],[0.54795766064832552],[0.57898049433308119],[0.85010641361396455],[0.73140126848170295],[0.54385480772971406],[0.4801948748598685],[1.0],[0.69067468303292701],[0.99955035082037202],[0.77031504133297091],[0.99988037325335755],[0.00140794204218464],[0.0010814919669271394]
2020,24.78941912000559,[0.0012974101941356508],[0.0023632225690439768],[0.0012652515100645134],[0.68618724096449635],[0.85960134056632509],[0.97029144697253955],[0.48096804818586392],[0.5692427697869531],[0.45785144436414271],[0.41570978775477285],[1.0],[0.75689224774557451],[0.99767190320092092],[0.77146891263893047],[0.7359152061591413],[0.0022341587683553654],[0.0016983381628883909]
