iter,incidence(millions),beta_H1,beta_H3,beta_B,susceptibility_H1_0,susceptibility_H1_5,susceptibility_H1_25,susceptibility_H1_65,susceptibility_H3_0,susceptibility_H3_5,susceptibility_H3_25,susceptibility_H3_65,susceptibility_B_0,susceptibility_B_5,susceptibility_B_25,susceptibility_B_65,vac_eff_hospitalization,vac_eff_mortality
1900,25.338490842756112,[0.002118452391729031],[0.0026783875417744074],[0.0023684095422146223],[0.66343302573664231],[0.60873685423613599],[0.65195036651665117],[0.56996888487440411],[0.75326490698263648],[0.48349209299699891],[0.39909436380171076],[1.0],[0.66358880135000919],[0.63038375151024528],[0.40109288156713396],[0.9073939733463956],[0.0013450798850085932],[0.001196831244280272]
1901,26.403290511954275,[0.0013916927706459359],[0.0014400199899642918],[0.002270938530109734],[0.58169498762513716],[0.80108646166734887],[0.90265534910214318],[0.6268988557137477],[0.67251857120224545],[0.81465489983242045],[0.75841965023426117],[1.0],[0.83523474869396153],[0.53429041945192324],[0.36269627340629751],[0.57822543765550238],[0.0013916927706459359],[0.0014400199899642918]
1902,25.633629878306195,[0.0020716207719659874],[0.0018390313007421999],[0.002359596619040838],[0.67477398419133505],[0.55676339678725772],[0.6563108144952583],[0.6548285254582521],[0.99963726097423833],[0.56757988012483884],[0.5831282068790189],[1.0],[0.53403892061045688],[0.55142968821903415],[0.33786316077130413],[0.86028357861524152],[0.001443410174316706],[0.0017182202841017347]
1903,26.330333724579948,[0.0017488387378040704],[0.002546988749769219],[0.0025609264657384667],[0.96905965057606114],[0.69352426769679421],[0.79360733359430236],[0.85514876973631004],[0.89625284247149417],[0.48886288213043116],[0.37425710285214209],[1.0],[0.67674107758218449],[0.55559338712536743],[0.35627151890350017],[0.78290201373415547],[0.0017488387378040704],[0.002546988749769219]
1904,26.33541842710419,[0.0026300120784986114],[0.0015240721983540984],[0.0014442230691021907],[0.62909729039800177],[0.41671228250568476],[0.44786993479118142],[0.73701665633523117],[0.99965548837644191],[0.78364369657267174],[0.65846034741011428],[1.0],[0.69425232606646881],[0.88689793503407421],[0.74613250417975019],[0.70900336132855735],[0.0019169144474765476],[0.0012780886541485792]
1905,25.82493648419063,[0.0015670864858009503],[0.001732695157114772],[0.0018152003918171511],[0.83377164306754614],[0.69991824485112164],[0.88954808378903127],[0.90673239060520694],[0.58865714335714037],[0.76637472000349471],[0.62515924575708504],[1.0],[0.67477216688335651],[0.76712739609108593],[0.56627922702423605],[0.79212580638692542],[0.0015477265915803673],[0.001625780029282986]
1906,27.22029930914448,[0.001555269085003308],[0.0023367997482086067],[0.001535483545601013],[0.67672109689683846],[0.6606902448494435],[0.71135122662528349],[0.87966461438629584],[0.65197969120544585],[0.43658237340598238],[0.36124318157071034],[1.0],[0.60149363689508617],[0.7481950393196205],[0.53564362282752043],[0.97237343804088372],[0.0014982599353334791],[0.0014169966582367466]
1907,25.43439291140211,[0.0013907487400370844],[0.0016391204061761422],[0.0017040099786181928],[0.88826049364587079],[0.88235168637385764],[0.92534094408060164],[0.58779998653500587],[1.0],[0.71884469065408996],[0.65314902239367567],[0.96237811955565356],[0.9241357985714943],[0.62909105051320346],[0.71877704609628468],[0.6928202837491626],[0.0017799349466071646],[0.0015718094673415894]
1908,26.017345462078335,[0.0020419591667223957],[0.0014458222707413593],[0.0020336558700135288],[0.61677847917699657],[0.54540408860323231],[0.62333698365083434],[0.59214163024748756],[0.92924604110669717],[0.63589097097744696],[0.92832945898462405],[0.64158743663530227],[0.87842401022102645],[0.59248793483311935],[0.42161081714020288],[0.79448718619798619],[0.0016108436068257848],[0.0017898371646730138]
1909,27.37557512690777,[0.0015873640171772951],[0.0013697067705787935],[0.0020395173246608445],[0.6708712991555571],[0.73416019510094521],[0.74115603633965421],[0.97332085568116311],[0.99998030248648251],[0.88408562988366424],[0.78094135953501909],[1.0],[0.7464987206750201],[0.59691450756213893],[0.49898770372248119],[0.86554079812847484],[0.0016383383680770858],[0.0014079497775350003]
1910,26.574930472933602,[0.0022156140364584798],[0.0023248503321536829],[0.0014050061197141694],[0.83926832794578754],[0.52225868436977252],[0.58593157542786467],[0.78550099453552158],[0.99999424234289891],[0.4872322561203371],[0.41966243037962603],[1.0],[0.71765014866668531],[0.99592182308484667],[0.72866902470969652],[0.72283594608079826],[0.0022156140364584798],[0.0023248503321536829]
1911,27.14885224646515,[0.0020237651059705764],[0.0021978862620651296],[0.0020506925844328561],[0.48963156661496443],[0.67624470850937124],[0.71675788804312768],[0.6877335324663586],[0.92264737812861819],[0.55981030537776011],[0.52755971801184398],[1.0],[0.45212985525919919],[0.73184302908140353],[0.53379274202632032],[0.58765292824280668],[0.0020237651059705764],[0.0021978862620651296]
1912,25.321702904906452,[0.0014869168656433396],[0.0015990084604397548],[0.0016087897546171459],[0.97762085438350388],[0.79389439074379031],[0.75745614143988771],[0.79913588946274061],[0.57424629907637259],[0.74111830590460614],[0.64074731165907994],[1.0],[0.47619959483196789],[0.83679185430540592],[0.57237823138280242],[0.74182631203698568],[0.0013565969899030916],[0.001328132619986544]
1913,25.366666424419176,[0.0021351667331800939],[0.0024629034286381968],[0.0023046748872901368],[0.83732295740833129],[0.53665190379282923],[0.62630895448411905],[0.79613823918749882],[0.90028644108880895],[0.45322210550151421],[0.40593584405855376],[1.0],[0.78560394130166444],[0.58055304761002979],[0.39306053834971533],[0.63731659479304748],[0.0021351667331800939],[0.0024629034286381968]
1914,24.79044118067169,[0.0014547546094829111],[0.0017158783801130006],[0.0013857687640926875],[0.61011529007156728],[0.86760191348911198],[0.92782378484078709],[1.0],[0.8113045649726337],[0.67658577612532667],[0.72291799129901368],[1.0],[0.92054908730709806],[0.97241964909774659],[0.79868237745403214],[0.81459099191548456],[0.0016731313242657753],[0.0016544502728438326]
1915,27.37985403062957,[0.0019693005134324149],[0.0017787950879919467],[0.0015070254447692166],[0.53265948963088572],[0.51503134916653204],[0.69739807651237662],[0.85603479172755725],[0.73645028376365185],[0.60368887036861463],[0.626905930515405],[1.0],[0.79498640368134521],[0.8417552629497409],[0.59104643234351451],[0.99968979799912172],[0.0019693005134324149],[0.0017787950879919467]
1916,25.94057900836432,[0.0014731708581924297],[0.0012441179798733382],[0.001276232076073136],[0.97668622321543452],[0.70116836623715484],[0.73261936808561023],[0.90291237606793162],[1.0],[0.88366886037605175],[0.77140057769561432],[1.0],[0.76394041443988381],[0.94425954903446374],[0.71719922777771128],[0.65459355329120406],[0.0014479266120548395],[0.0011617633234463076]
1917,25.991089206291615,[0.0018068478479202899],[0.0027587850569097405],[0.0023648944209756495],[0.99985498659640948],[0.57926512578045786],[0.67996350520401827],[0.81893897416517936],[0.79025990314835526],[0.39945979357472861],[0.31290997634591516],[1.0],[0.85229853157541102],[0.55867401173877917],[0.3316113815069317],[0.72576877935813577],[0.0019477220997820011],[0.0014430864880500271]
1918,26.74925647340428,[0.0028700044359040167],[0.0024195221537179346],[0.002350459947849437],[0.45640508898568677],[0.59717733697830699],[0.4279472941919728],[0.6380017667547383],[0.95258096358385025],[0.62499340065291131],[0.49229560059302246],[0.96851062613647976],[0.65097254889171929],[0.73095648122983037],[0.47915759873704006],[0.7558343330242403],[0.0024967257833482526],[0.0021915523439311468]
1919,26.099257630653323,[0.0018798985248965616],[0.001721258312414875],[0.0025966396842170836],[0.99613475989183153],[0.64631185571098748],[0.74138608968598063],[0.62637865783212776],[0.44438035877066484],[0.78630905622279235],[0.72590221190136095],[1.0],[0.87852845994088113],[0.48438795584140337],[0.44101816967564023],[0.69931922993253881],[0.0018798985248965616],[0.001721258312414875]
1920,25.86464413022107,[0.0024900897347272521],[0.0025249840504077969],[0.0017562254641532715],[0.51062884696444],[0.41211918768011585],[0.47226903764719413],[0.56160436160785976],[0.63089390963400815],[0.414195652234298],[0.34014969609594681],[1.0],[0.44819250531649568],[0.69093096078789529],[0.50755113668846674],[0.81328125803007301],[0.0019299410039591014],[0.0014513489584678241]
1921,27.732399651504622,[0.0016512972364776668],[0.0019554742343605991],[0.0012572915375952398],[0.92485359022463398],[0.65380383864712943],[0.72636973280511286],[0.61010624322917473],[0.77180457568922634],[0.56926811275012856],[0.50785192788544131],[1.0],[0.8222740151782254],[0.99132244339247744],[0.76486838662652135],[0.92484140408663529],[0.0015012602145078047],[0.0012771566917461619]
1922,26.32300912325817,[0.0017223904990489869],[0.0019040741075596612],[0.0018796948492015852],[0.99956323435561401],[0.70256013762191727],[0.75567561938588657],[0.93148217238970421],[0.84200299934220868],[0.65632192797640254],[0.60044496799322444],[1.0],[0.81806150689954182],[0.68837419888969886],[0.66262882438333159],[0.59462936753445406],[0.0020625131614314118],[0.0018284228684484205]
1923,25.172663608729497,[0.0025402161772241638],[0.0019846129896897713],[0.0019928664711043043],[0.89090612475789976],[0.52949428147554789],[0.53581696937465928],[0.60855854391851494],[1.0],[0.70288586920173335],[0.62632354172186266],[1.0],[0.85900819991717503],[0.64830095613870775],[0.72279437884207931],[0.84744092082085132],[0.0017466253019733369],[0.0017936382601635437]
1924,26.76606125840661,[0.0020309711948655607],[0.0017050753662203322],[0.0018258038136806376],[0.94764972718732321],[0.55982136435572216],[0.67889304003050865],[0.94125392838197008],[1.0],[0.72380819428243126],[0.68620576608436512],[1.0],[0.80298002727689943],[0.76740655825338144],[0.61077688373796157],[0.58403869880154646],[0.0020309711948655607],[0.0017050753662203322]
1925,27.185391522651397,[0.0016774160490033441],[0.0014532349768753283],[0.0017768268960673406],[0.90148075240075398],[0.67392107866803197],[0.65463531041176293],[0.94717960648540789],[0.98088471057873594],[0.80938138612105459],[0.67440354675332093],[1.0],[0.34646646457008468],[0.76310537271406731],[0.49121999328519816],[0.89962593452816975],[0.0022652812378729514],[0.0012169126460335744]
1926,25.97796830272141,[0.0016171958213722637],[0.0017409439071092714],[0.0015282987985560936],[0.7262889272465719],[0.6815835037780863],[0.74855920770846773],[0.76095597040390262],[0.82228423730929345],[0.63702566427708973],[0.62274046054674304],[0.87290900620522982],[0.56549962542241994],[0.78702950490071422],[0.72149509598438322],[0.94515158106888386],[0.0022610430093241707],[0.0018714262460598485]
1927,25.55812156468727,[0.0015574558177925413],[0.0021601109171813238],[0.0019771298926317127],[0.46357249545068646],[0.69214605511941063],[0.79462120641992162],[0.66687033939082085],[0.49036773589214772],[0.46027781395880807],[0.50639695774222826],[1.0],[0.50652820364937767],[0.58209388104339654],[0.49194402699447254],[0.87185698034958548],[0.0016154733669696553],[0.0016058060148096964]
