,iter,incidence(millions)_x,beta_H1,beta_H3,beta_B,susceptibility_H1_0,susceptibility_H1_5,susceptibility_H1_25,susceptibility_H1_65,susceptibility_H3_0,susceptibility_H3_5,susceptibility_H3_25,susceptibility_H3_65,susceptibility_B_0,susceptibility_B_5,susceptibility_B_25,susceptibility_B_65,vac_eff_hospitalization,vac_eff_mortality,prob_hosp_scaling,prob_death_scaling
0,0,26.58513281006413,0.0022339498653970447,0.0015043303616560366,0.0015794036348601437,0.81810272978271503,0.48109286815444335,0.48020222862543377,0.58103414823629262,0.79738824312819978,0.73689607517815525,0.68902984894512787,1.0,0.8452904737212863,0.76397983561310223,0.63130862045119529,0.50075429996470366,0.32948907714667652,0.37332022743526239,0.0041427071408765559,3.7988162156665783e-05
1,1,27.06452245420247,0.0022752781845424286,0.0014623199437029388,0.0017072922527550105,0.66118943388716933,0.45889249994716236,0.45968765104102433,0.82376009895631452,0.70555271084107507,0.72447285183016241,0.73206770681248923,1.0,0.93584207118433771,0.69722785525999953,0.45504331185030245,0.62510977320968675,0.32613857700526849,0.6109384068752608,0.006990395756488077,7.2023323476888557e-05
2,2,26.55684053672389,0.0018467692022892668,0.0015551968276336092,0.0013555985013332661,0.58995171586099171,0.62379145566293537,0.79726173951249635,0.5807712448928285,1.0,0.79131488058063892,0.68594886927138821,1.0,0.94816032452257892,0.99923860265309949,0.804014393049305,0.53919486135970796,0.74430964294747826,0.35770069701218921,0.0069998116813020372,7.2895541183504164e-05
3,3,26.587946585418486,0.0014680094686004841,0.0026817488360239561,0.0015649101884031014,0.96885669922824991,0.76313821462922427,0.84750611490766281,0.78233820741397608,0.81116373611554637,0.40885975744161784,0.31204023308738393,1.0,0.90183485983404665,0.8440655426733561,0.58933585308470837,0.5301459345031192,0.56757017351928851,0.2847282064614276,0.0090722853451988827,2.8895676832674244e-05
4,4,26.480986515296323,0.0018608236583814719,0.0020917665510679084,0.001810635452949183,0.70798283774865423,0.60220853639336125,0.67045563604497649,0.70791663647718839,0.97474526266166717,0.52129411893455313,0.47487561803364697,1.0,0.79118699665365422,0.75658360468301278,0.44516377742704305,0.77036258696185511,0.91432916141399023,0.29603153202935945,0.0031164901854618954,3.8687823532945753e-05
5,5,25.42142455940288,0.0014832611797275241,0.0020205489255107345,0.0024689604725415815,0.9411897844764876,0.87064858680574675,0.88575922481303193,0.90919800004134255,0.91680678615331235,0.64689362561655539,0.52374905204430156,1.0,0.53147264974985242,0.56962593748797907,0.42823747784693672,0.74930423002958357,0.89396192363057869,0.19035473980708623,0.012251723382822322,2.7234762612071695e-05
6,6,26.54128415574107,0.0019959907642801977,0.002685500311354061,0.0025477141866068753,0.70448359277558359,0.64114899912777412,0.88913002936248631,0.95698590579590759,0.90032529195172839,0.53844123074554984,0.46117600464527475,1.0,0.45117340755854496,0.50541175716981246,0.66939155677403561,0.93895607874111153,0.355129138792175,0.77033645567021936,0.007260194165198075,4.9730154672744664e-05
7,7,27.554317288427374,0.0030632979146462125,0.0017050049563585579,0.0016358023891773765,0.55242137317000584,0.382305126548388,0.41516657938130974,0.53067911823130387,1.0,0.703450348383869,0.68386468191844185,0.99867320120225422,0.80316636857668988,0.86779872226015087,0.61711705269401296,0.44209047365354481,0.21920020547243318,0.33079144140546746,0.0032336259563713887,4.6220426929477476e-05
8,8,26.45365293914453,0.0019186219824646189,0.0019792092391910376,0.0012631046527590284,0.8483532961353849,0.54273425010591936,0.68117136398666744,0.62355223570865603,0.53318753460946544,0.62216915240055881,0.52238935483066795,0.86325000153987974,0.80698373024237746,0.99997115995135255,0.91790948028629138,0.74407395494416628,0.29477321881374274,0.71740727717135577,0.0062048245934504531,3.0087835186654033e-05
9,9,26.52945803043148,0.0018670190664606956,0.0017378353979586314,0.0013482597181060374,0.53934298262585545,0.61707642732352364,0.75330585160615005,0.77351230301224128,1.0,0.70053171775340706,0.59012017158875685,1.0,0.68807627667742055,0.98979172776083024,0.79991718440688997,0.83406596349194584,0.26750160814876278,0.60772052883743821,0.006483564479564552,4.7020206542847109e-05
10,10,25.57082502995091,0.0021755391513874622,0.0014828586272634392,0.0012271689857665247,0.70833640769301076,0.45186165384763272,0.54700150810668335,0.43660896313358744,0.75883446185676517,0.65338668910469155,0.80085415548600669,0.92029379027791491,0.90467150019801434,0.94599762974253532,0.79716627199126644,0.64850286583860806,0.53818398968687753,1e-08,0.0050045318082498902,4.8779952740385379e-05
11,11,26.121186340371644,0.001563901019383751,0.0020276216064324948,0.0017389882215019803,0.57708499627452314,0.84849745958547662,0.93787718532021214,0.6812215993576296,0.81228141729203962,0.63395399274038144,0.55029356358063797,1.0,0.76432542800573966,0.83000933217432771,0.59033205649025067,0.93978651987837658,0.7057635986805576,0.79106680737728885,0.0053760823286765347,4.494892842443754e-05
12,12,25.672617916322714,0.0016754018923211267,0.0016287829941114551,0.0017997749182598333,0.94048230691935331,0.54185480542820108,0.84793800612289338,0.69973869999880567,0.7743231796711757,0.78986047568961071,0.61085883916258987,0.94995437467102251,0.5078453067722053,0.75450472042965355,0.53638218564853801,0.40536886796944194,0.68822526474467094,0.78377900244068643,0.0046263091177697335,7.3799861216750084e-05
13,13,26.09871167026427,0.0022511078544001917,0.0019832932068404308,0.001458944834999587,0.56446195298258073,0.50726737019127011,0.54656988735990475,0.48950717461718551,0.70685332541452184,0.61306061921902388,0.46954885321668532,1.0,0.79970175741627803,0.87609225641180477,0.72202752390911851,0.5073051472910669,0.63922873738278563,0.93068645183610155,0.010640191399526322,4.8847891650827258e-05
14,14,24.556529390590192,0.0015646485541540578,0.0020254403851621694,0.0015760211515148392,0.47722811250737718,0.77583627229444341,0.93741934649826453,0.5066213084971477,0.81790368518535694,0.6638056469772522,0.54065938160761251,1.0,0.80109123810485738,0.90339426836137937,0.67553389095449923,1.0,0.14567600025111943,0.74895745834212446,0.0070083619778555928,3.217676324240859e-05
15,15,24.63033724810803,0.0015027649016404743,0.0024290619490882626,0.001812781117463913,1.0,0.85449466322033318,0.99587917544387938,0.62611026695486438,0.90547541776073981,0.53652152955706722,0.45511064772943061,0.82526195766492694,0.99950144499955584,0.80249797108081999,0.56202692727929138,0.971885178944491,0.42765200635423645,0.65952993813340699,0.0067888612827042283,4.2530847722599407e-05
16,16,26.82367051266705,0.0022137597746884063,0.001989325275766729,0.0027359793007383781,0.89890061197728999,0.58011930949393664,0.60072551422461573,0.68617999136834718,0.91165115455512158,0.68768727813670827,0.5721192488675545,1.0,0.61308793928505945,0.54536483980328287,0.37139615442603835,0.83513957821003104,0.95539776035714863,0.77473750467369618,0.012886424324967838,3.2774297361426452e-05
17,17,25.54115721646353,0.0017304377750447797,0.0023467202811282561,0.0021271987680507309,0.95379819388636622,0.69768071925622477,0.80470636349371727,0.91321817495062885,0.86817322151682708,0.52126588033863952,0.46037625540287075,1.0,0.68125407505840718,0.67875863841891981,0.49380411530821811,0.70545608493695089,0.71647658424964122,0.78162044702144573,0.0073287219290786854,4.3320402350000009e-05
18,18,28.233784427222982,0.0018673464201541257,0.0016504648840705016,0.0019080149249126599,0.99597797151037271,0.6980181500657282,0.85636359586926214,0.52408002200954018,0.90960863635574829,0.89680842628592916,0.78255879613661872,1.0,0.49883550607156202,0.80464011386280099,0.71220384418799221,0.99994783134575926,0.21221498323644439,0.34491218573572963,0.0044729946968087297,4.8919516731860124e-05
19,19,26.30497850955445,0.0023868200008245188,0.00193517969349849,0.0015101366469733035,0.81882700367558103,0.47685152396085267,0.48723439779053751,0.59701297870592407,0.87711013620448419,0.62591579879460946,0.53249808237800755,1.0,0.87310574423451681,0.87985055121060296,0.69181419007642009,0.95087429570032378,0.62722201763173824,0.679381043696208,0.0098102875137137113,5.4542721688366491e-05
20,20,25.96870349460709,0.00194817152290927,0.0021009455874476113,0.0015974062097176001,0.90826786443342178,0.59978363894059994,0.70014276365650197,0.8089639465247318,0.81066579925864124,0.61089714187687794,0.54571251504861762,1.0,0.79296236062473568,0.87754543847082556,0.75834584011986528,0.92207827407655962,0.46364936521795452,0.13813049743216432,0.010061783588736106,4.2184528442845703e-05
21,21,25.57069853007414,0.0024368570199622686,0.0019085596784558234,0.0014537239404764923,0.6808959704560168,0.43714760867919294,0.45782688474675581,0.58046398580339154,0.999999003800218,0.5729199459299954,0.45990483463682402,1.0,0.83471005163155221,0.80291631195782864,0.69624792108637545,0.90919748281931745,0.30085616487333883,0.25082034617939619,0.0026993963249639097,6.2075308714493183e-05
22,22,26.81115094288418,0.0017449922812656782,0.0019443324689840114,0.0020492325940500988,0.80476214615916097,0.84957725147844332,0.78999355853593078,0.75461092944425046,0.66940809702913584,0.72801539059037834,0.65604115180100409,1.0,0.7583997051675786,0.69997168601607962,0.66511876047046836,0.76361316347589825,0.77671988176707529,0.74773006242038242,0.0062927376661200962,6.5518780676010469e-05
23,23,26.34976865670279,0.0014828318241287275,0.0028328989192322185,0.001507785791244165,0.92720366477058302,0.7932323945861397,0.83354527253396382,0.99233550628366696,0.59805248037289016,0.40558745171020028,0.34394190663017143,0.99985111872439503,0.99985511185026676,0.94388297530984766,0.54583205291212589,0.65843690361603913,0.52800599674594262,0.6025078137130877,0.006296690874516786,5.1339526273508351e-05
24,24,25.726092952823034,0.0018611504243655763,0.0024479770948354074,0.0028498849012659755,0.5319076445798977,0.65261805291556318,0.77879320376023542,0.76844404947199574,0.76878461595726399,0.47201819747244722,0.44798338748185185,1.0,0.66363928516826798,0.50350960998567784,0.28972467213562481,0.57644688566827984,0.87148086666525093,0.2847139646143968,0.0062133548666870597,2.694258696023244e-05
25,25,27.130691048792272,0.0019783750742186079,0.00147378990837016,0.0024126039199049432,0.53180284802160205,0.49170220595248898,0.84850945024087454,0.5732038217393155,0.42720836566897219,0.89164455012834609,0.92126233125665935,0.75678655675571482,0.56406986860477459,0.47152273821143476,0.60669014993068227,0.51204905558086511,0.086564828880186073,0.68818913099094403,0.0066404544061538506,5.2712769433804763e-05
26,26,25.728630994724607,0.0015829911282709275,0.002349115002089508,0.0015216630441147738,0.6870902072592453,0.71038410526310647,0.79677078582986682,0.98762518551182565,0.89415429445986416,0.47009631699121252,0.39804774428160761,1.0,0.44660035963189271,0.88415675751504197,0.68895638458874919,0.5783000655307784,0.091480678559474615,0.6625890727939443,0.0067758887375083954,4.2314182402691802e-05
27,27,25.61689491017659,0.0014408973040636597,0.0015638746244785451,0.0015340852308412534,0.7653403566381014,0.77126860692267085,0.86946740078838491,0.79025030733642432,0.82169852759768092,0.76810817992373925,0.64032233941531902,1.0,0.52798525574896682,0.86935131261278276,0.58046161124303886,0.8563363594174439,0.33194590089086334,0.50854322231384597,0.0065470449828793353,5.4904188196924775e-05
28,28,27.108235395985645,0.0018078096253693055,0.0017310865477701554,0.0017596755636617445,0.83935029792991922,0.76564842613992279,0.78430443001645322,0.97320387587786561,1.0,0.82543962735094334,0.69535541730076167,1.0,0.72229483393869198,0.84162004290465631,0.67382854606441023,1.0,0.92266650387904958,0.11218265217038237,0.007916252693449477,2.6860264115968757e-05
29,29,26.55964992887728,0.0024158271378064144,0.0014598713332996116,0.0019774184103242831,0.68739130555735728,0.44126537895678936,0.58089656192009709,0.67967774358057476,0.99769154724922871,0.83922291296973861,0.75717225119662668,1.0,0.43255340085006799,0.70857201874514852,0.51729011576251338,0.42868584007287758,0.77503263069476347,0.13038441293316544,0.0066468548721768106,3.8688521165175516e-05
30,30,25.28733899016973,0.003049687744740015,0.0017070378026027844,0.0023158175560398786,0.64694205969543916,0.40808465277660022,0.42439455962439171,0.36538417894877662,0.99999072411063028,0.74311250683598407,0.65594765283223955,1.0,0.7896488782628065,0.61293389675314369,0.38386166667707333,0.75927691410294562,0.1556514571494928,0.14900988891430966,0.0072928972608224396,3.9745010426306404e-05
31,31,25.423607612632928,0.0021136131906289157,0.0023219380032326042,0.0015326564004954357,0.73161571065568676,0.54398505044198708,0.65339735966800072,0.53412599998442001,0.85665752156655173,0.54693805517496574,0.40046645062826547,1.0,0.74235896727658057,0.89870197160875587,0.68852320257198241,0.9214964534860588,0.39167203300005793,0.96468950027564482,0.0087509513247044368,4.9912300999932491e-05
32,32,25.960580978345,0.0014771543206159032,0.0013056465947304252,0.0013568509915092841,0.86298151498852693,0.83495990810798226,0.74169028306050588,0.96112436713223437,0.92804275449435947,0.87945057051284758,0.84468980400797689,0.72375276171326564,0.88227597352162079,0.95623968337083398,0.61933167948082823,0.50068619917952795,0.77559771210165929,0.4992848679508145,0.0091327737684667176,4.8351197823648384e-05
33,33,26.899663029900452,0.0020970778594134876,0.0027938334438798451,0.0015462206371962828,0.66975044547039153,0.57142366324045135,0.68940378940222269,0.86371338357837013,0.65153647496066813,0.42553684008894749,0.3714810204456116,1.0,0.97681562760125029,0.95752425918579442,0.49462867587765108,0.82903398457913946,0.52093191759521851,0.58721404204648686,0.010304946394594894,2.1597968110409482e-05
34,34,25.332453804110607,0.0020380291840459419,0.0015746076105734308,0.0014918655804103675,0.64397718331507325,0.62295678433574675,0.60672295951480892,0.56154880458595691,0.62750482090276571,0.80605521706818162,0.72663692421640991,1.0,0.59512358373395036,0.80355428894525993,0.90427773652092691,0.78254897521365319,0.14893627855917924,0.58565101374578976,0.0083850880282065887,6.029812064411999e-05
35,35,26.50963275727068,0.0027704108770981728,0.0028547942535163684,0.0025496939694500398,0.56733352231960488,0.45742941509022722,0.49261382591555908,0.60801824336630195,0.47596976341504915,0.4711388878564684,0.39012428195865051,1.0,0.67584650216735498,0.55514158162480076,0.43170744521700022,0.88170242988829561,0.16391930268220045,0.041575848653686465,0.0060361706305829821,2.813498755899202e-05
36,36,25.80347376672309,0.0015997810245113597,0.0024638550978197116,0.0016284471297324243,1.0,0.78894580932946234,0.8999983269994305,0.94510105583519932,0.91453525881283459,0.47886518736437506,0.41089091776228293,1.0,0.67334252705547004,0.91882549579360684,0.63071082456319016,0.91513136548492402,0.38780149206817655,0.73722605329694069,0.0058908142097171545,3.98922032159299e-05
