iter,incidence(millions),beta_H1,beta_H3,beta_B,susceptibility_H1_0,susceptibility_H1_5,susceptibility_H1_25,susceptibility_H1_65,susceptibility_H3_0,susceptibility_H3_5,susceptibility_H3_25,susceptibility_H3_65,susceptibility_B_0,susceptibility_B_5,susceptibility_B_25,susceptibility_B_65,vac_eff_hospitalization,vac_eff_mortality
700,25.813363040062363,[0.001530476431834682],[0.0015446197538749318],[0.0015417325926577741],[0.71388910194774435],[0.8204063696679722],[0.87612928903300458],[0.9172954535428125],[1.0],[0.6699008527802861],[0.87552760988262279],[0.99119465397831785],[0.44900060848048018],[0.97846963271969356],[0.55900022483672263],[0.40729258148972902],[0.0018124005411834232],[0.0013837151087692234]
701,25.99466275637617,[0.0018201011246433141],[0.0020671319469787175],[0.0014634078172653942],[0.99428985974415496],[0.72916926481801658],[0.63994154292065053],[0.5632534189208398],[0.58836729559405909],[0.65469578982000209],[0.50271786235677562],[1.0],[0.72980040885217468],[0.9711702702595586],[0.73285441941005058],[0.82992021147393458],[0.0018201011246433141],[0.0020671319469787175]
702,25.581468518007625,[0.0019822709109896808],[0.0016891141155014888],[0.0024539868654507857],[0.76230650855778936],[0.65592743157260847],[0.63138470219250209],[0.76993170402620259],[0.65861983614248754],[0.7312218792684948],[0.73822073056852389],[0.82822387590819002],[0.48980872336935721],[0.57157583566315218],[0.42313071781277112],[0.89057778425982637],[0.0014772431695094235],[0.0013377106775152026]
703,26.861829021949664,[0.0022744341549986169],[0.0018411440852645344],[0.0017448170641229388],[0.84623299692444398],[0.49576356292605095],[0.5160302277347536],[0.66898785295558816],[0.80381110634217889],[0.65883260291277912],[0.57265745665287593],[1.0],[0.44731871883195129],[0.73373252563336855],[0.629969570045951],[0.87375715797300169],[0.0014256333437374646],[0.001444754397325887]
704,25.95322936587568,[0.0012850083415408831],[0.0018123711574040691],[0.0016354974051556725],[0.82146476194543216],[0.87009223547180725],[0.99711670836627853],[0.99999093618869295],[0.95913554511868315],[0.60099022037416072],[0.57759536499435749],[1.0],[0.34432702462689335],[0.77234337044708501],[0.64881206690562032],[0.75609504616551959],[0.0012850083415408831],[0.0018123711574040691]
705,27.18456323224811,[0.0017494449796374711],[0.0013621433271819861],[0.0019538501220789928],[0.89141697338291381],[0.75428164467980152],[0.64962904704012281],[0.9730588472169841],[0.5797947694717287],[0.99233238643880817],[0.8005027716325801],[1.0],[0.888624005886129],[0.67450220582432308],[0.5343670616011873],[0.70035461130516241],[0.0024174955437795131],[0.0018786537493339917]
706,25.89476025606489,[0.0016598884462520336],[0.0021555819380095764],[0.0014092016242089334],[0.70953190409730216],[0.66733200821262983],[0.80733258086665005],[0.89946650876373813],[0.67132274458358432],[0.56640806525237275],[0.47463101044713446],[1.0],[0.52600927138101194],[0.9577534075316233],[0.80070775637296765],[0.5720152807024006],[0.0020398519002737259],[0.0016506411564153889]
707,25.387552379937137,[0.0014006410053013507],[0.0015967718494576677],[0.001613221624939043],[0.88621734539520314],[0.84248264216845747],[0.84373193733127649],[0.97114042474983941],[0.91999347838072465],[0.75013297307298099],[0.64259217167494276],[1.0],[0.82801891800079763],[0.80538292043615933],[0.54268220498696551],[0.95465592634125018],[0.0014006410053013507],[0.0015967718494576677]
708,26.065645277993145,[0.0013250813042495202],[0.0016063608929534623],[0.001586792394478953],[0.90555573155852942],[0.8476550944525566],[0.77608665511853503],[0.79949007704280484],[0.29121629651040071],[0.69569179323454333],[0.60015069004216548],[1.0],[0.41824248034764694],[0.72137344257152336],[0.60536105710371724],[0.63175284679127652],[0.0013250813042495202],[0.0016063608929534623]
709,25.323141108409683,[0.0016403005068674203],[0.0017961886410510219],[0.0014829715233640184],[0.68594213962559392],[0.67613896038567622],[0.73463403285978701],[0.93369670155423967],[0.63628386171514884],[0.67751979295632858],[0.51049869355664934],[1.0],[0.66858330083280082],[0.87530880145341716],[0.63931382790194324],[0.62213433609136892],[0.0016212366170568759],[0.0013545268409563826]
710,25.596945541397144,[0.0019426016528495405],[0.0023414604033587527],[0.0021480979618695439],[0.75235872624653533],[0.56257712770776735],[0.69339621506703486],[0.54723314481357244],[0.8954189904251203],[0.51040113819678778],[0.41540420439018183],[1.0],[0.77258957472334977],[0.62713468781315551],[0.44378252613173036],[0.89864393961211531],[0.0019426016528495405],[0.0023414604033587527]
711,27.24924647870148,[0.0022462316929553472],[0.0022981835473617762],[0.0015701515462211435],[0.86301520533624343],[0.52508934467883372],[0.65011949944440794],[0.5945223717827105],[0.56897202803257385],[0.58964019871077222],[0.52298984078428556],[1.0],[0.6289806813894554],[0.85411731369337063],[0.85047008604522434],[0.76588358506535736],[0.0025019556354743955],[0.0019587574104572014]
712,24.705829558411683,[0.00158903320755166],[0.0014614563434167671],[0.0015649742366652952],[0.89685152391904466],[0.64953308254472697],[0.77729019501900365],[0.69029585291727169],[1.0],[0.73531630012405724],[0.66959171064314615],[0.98804060751673584],[0.6311537211897128],[0.78476424072406137],[0.5898344840323565],[0.73408245884362189],[0.0020052643537517012],[0.0014164676661043152]
713,27.03950587967208,[0.0015736833502342784],[0.0019684283265477553],[0.0024671511826090398],[0.48182099447241761],[0.73080769004628165],[0.88494025614945726],[0.99999953159167143],[0.89911718709477095],[0.58569292423872532],[0.50130735695776063],[1.0],[0.56960320431158717],[0.49378085795675991],[0.41363175787584561],[0.76498884049311089],[0.0015736833502342784],[0.0019684283265477553]
