iter,incidence(millions),beta_H1,beta_H3,beta_B,susceptibility_H1_0,susceptibility_H1_5,susceptibility_H1_25,susceptibility_H1_65,susceptibility_H3_0,susceptibility_H3_5,susceptibility_H3_25,susceptibility_H3_65,susceptibility_B_0,susceptibility_B_5,susceptibility_B_25,susceptibility_B_65,vac_eff_hospitalization,vac_eff_mortality
2100,27.743810930604653,[0.0016232291055007786],[0.0019646195375194742],[0.0023015245326988287],[0.90452239081068497],[0.71141739062573017],[0.9456895340384911],[0.69818606001436356],[0.95167598860269198],[0.65073186452642218],[0.57134553180496306],[0.8583857610862653],[0.86851134412304509],[0.56620378092869239],[0.44734393821353002],[0.72018340885009025],[0.0024090471750169429],[0.0015714309445842289]
2101,26.43333238210737,[0.0025984483869963548],[0.0031029142110828301],[0.0024272920953331556],[0.90726478413336342],[0.50274992608494318],[0.48873816535510034],[0.70763700408412222],[0.97294841519474684],[0.40564364728733449],[0.30228082953373031],[1.0],[1.0],[0.62138825649606122],[0.35820343327082504],[0.93462330836260499],[0.0026558040454832121],[0.0022496850223198139]
2102,27.157844759772257,[0.0019047778577423458],[0.00178883198666413],[0.0021251655513853662],[0.70455871343772203],[0.55410858191027013],[0.61442476492510134],[0.73006610685308859],[1.0],[0.63054080105776844],[0.51743501813260318],[1.0],[0.7900644278129616],[0.58385857409802833],[0.37352406717019776],[0.74003597082426209],[0.0015421744691075379],[0.0018688339153563605]
2103,25.727953139217124,[0.0023343727062211661],[0.0018491870754850925],[0.0015440260068170231],[0.66213217234694555],[0.65098778474834629],[0.58759750065756489],[0.79181460501871559],[0.6150100779461285],[0.72928862803747896],[0.78924279312657952],[1.0],[0.86447707934127727],[0.99885897002723512],[0.79773109431120359],[0.98088451047114567],[0.0016861904648134418],[0.0024525312958210144]
2104,26.79327042876432,[0.0016802726129594991],[0.0022744231405111837],[0.0019020717571112677],[0.62602931021031827],[0.87014728988020318],[0.80911462982130322],[0.94577206606492759],[0.55609689892243974],[0.59197145428159059],[0.55294401301093055],[1.0],[0.56779281342449128],[0.7781989857175069],[0.62038921817847281],[0.64308750350985344],[0.0028536190328732891],[0.0015847230959748493]
2105,25.84765403648926,[0.0018137305262643233],[0.0018830228285525719],[0.0014991174538550034],[0.63408192858078083],[0.59860385056094934],[0.76496579557337407],[0.8471689601728094],[0.65654116946090846],[0.65143998165978201],[0.58886646708248747],[0.99934392577719322],[0.76789236409259942],[0.92985348687137837],[0.68113677253673099],[0.75284431502779703],[0.0018137305262643233],[0.0018830228285525719]
2106,27.69129314172092,[0.0021549534655148639],[0.001693505163139486],[0.0014989481950752892],[0.65418097409942588],[0.65216854071118524],[0.66232948217256837],[0.68532191230434092],[0.99440928531434425],[0.81582057287899279],[0.80744717060195592],[0.89541893300799535],[0.94043506971676694],[1.0],[0.84293805074047901],[0.8665444491164267],[0.0018189085716278641],[0.002396940591835317]
2107,26.6185245332208,[0.002442785969765382],[0.0029772545366690828],[0.0021440101058853855],[0.68102197813928522],[0.43668656184322563],[0.46026817411851184],[0.50895745633725109],[0.64081183823529564],[0.35236478992634129],[0.26423723850128483],[1.0],[0.70780023270999382],[0.56717343547801535],[0.37150768244376675],[0.65167903419809703],[0.002442785969765382],[0.0029772545366690828]
2108,27.210918638170078,[0.0017128542160800286],[0.0019736563339208812],[0.0016002105085077267],[0.97194993544957586],[0.7270038758755627],[0.74153342848332693],[0.83385543090621628],[0.84643485410539121],[0.63986168826329826],[0.56404707725365055],[1.0],[0.65254452295669663],[0.92541436193265059],[0.6268026377856275],[0.66111111073210171],[0.0017128542160800286],[0.0019736563339208812]
2109,25.59777471903049,[0.0016754272100086287],[0.0018103155768953716],[0.0015022720700938463],[0.6144030180589577],[0.74912639132265613],[0.7729830778127591],[0.80273305105054149],[0.67920691778103659],[0.69143104760762975],[0.59936918182353427],[0.99997798693223094],[0.55971585538716628],[0.94631605287227871],[0.60683695222419476],[0.88454565028264454],[0.001470768843558623],[0.0016332308957971442]
