iter,incidence(millions),beta_H1,beta_H3,beta_B,susceptibility_H1_0,susceptibility_H1_5,susceptibility_H1_25,susceptibility_H1_65,susceptibility_H3_0,susceptibility_H3_5,susceptibility_H3_25,susceptibility_H3_65,susceptibility_B_0,susceptibility_B_5,susceptibility_B_25,susceptibility_B_65,vac_eff_hospitalization,vac_eff_mortality
800,27.18600154517275,[0.0015649049434666717],[0.0019864596057854178],[0.00151260428442207],[0.97984618256993516],[0.84197242869827837],[0.75529024079544338],[0.56202138935284252],[0.78209921054469733],[0.56956637542762933],[0.61200715348590018],[0.99737075651695739],[0.99999798475697677],[0.79666414559643406],[0.853004568713853],[0.55230239020590888],[0.001426394613437465],[0.0018827108034335516]
801,25.984697807776048,[0.0021380607032760457],[0.0013334751239871823],[0.0014789590709905487],[0.77838500276333289],[0.4734607733327667],[0.62323571899839436],[0.69224282943802318],[0.78436355067115437],[0.84529166955460777],[0.94097308804459889],[0.60122154828009666],[0.75214820672710769],[0.9424699119928196],[0.63058672407729011],[0.70032614872684551],[0.0017994937932286903],[0.0015172447483522422]
802,26.44152201260036,[0.001420083855004084],[0.001263767716491726],[0.0016716015184626842],[0.85450344905753461],[0.76896440792122822],[0.76642116846587338],[0.97735786633870181],[0.85736103873241465],[0.87961163132127496],[0.78361012826618426],[1.0],[0.73912785766922462],[0.71516673977859968],[0.54459940619766212],[0.53858976895140431],[0.0014187836807332821],[0.0014388451622577847]
803,24.50346323833813,[0.0017114331978482777],[0.0015280665980935138],[0.0020101405882625989],[0.93752740182923189],[0.74130748386195633],[0.84929528958769041],[0.7611048595352482],[1.0],[0.88669924326984095],[0.79751776506511374],[1.0],[0.74341447392375826],[0.72693614391545902],[0.51639405039981123],[0.78914271401758795],[0.001770465142671207],[0.0015204011902145709]
804,26.47270360645124,[0.0015798436135942562],[0.0019100441921623412],[0.0014395252235153144],[0.54322881726746197],[0.70354417427194682],[0.7623577105990218],[0.87457723154503642],[0.60455419933746357],[0.62150527428791402],[0.46561889442137305],[1.0],[0.64254209535830531],[0.87069542698257307],[0.65739125215824967],[0.48633816399234919],[0.0022490086642855678],[0.0012168195137031157]
805,25.18221240340838,[0.002280429047297361],[0.0024635799056955676],[0.0016502312671488606],[0.77600967834251744],[0.5513536292047736],[0.59745047177890009],[0.73460308896730753],[0.91721642649777091],[0.4971588033758671],[0.4415274610874611],[1.0],[0.87052354583289504],[0.89893234476599693],[0.61724248092274769],[0.75112966216372479],[0.0021247355092443576],[0.0014899388473765818]
806,24.856708834013347,[0.0017447313824399124],[0.0014234102673442162],[0.0013315034555258509],[0.69152303610438537],[0.68011736567660996],[0.73669192405732775],[0.65949938122894269],[0.84039276070480518],[0.85703365385169472],[0.79923083504634729],[0.99675570253121659],[0.65554222550231234],[0.82930293771319374],[0.96822879604883161],[0.9465986365219915],[0.0017447313824399124],[0.0014234102673442162]
807,25.85763008111887,[0.0017938293608069644],[0.001831595513771489],[0.0016112515013937956],[0.5801634847277547],[0.69729478497307307],[0.76113033003076735],[0.54212885979991399],[0.8525833868723256],[0.70092335041130227],[0.55847636568428638],[1.0],[0.65541084034112529],[0.82362876986793165],[0.70919640307763576],[0.63209001175676505],[0.0014634117422467341],[0.0014842452523324279]
808,25.414442450306158,[0.0021640562090644577],[0.0020581860226079884],[0.0021933674795990843],[0.56212324156518523],[0.57270035258111862],[0.57649846167605934],[0.73694145944646305],[0.793622921572392],[0.60587336107091561],[0.51305821651086037],[1.0],[0.73410297301643024],[0.62962498959081481],[0.40961197283021283],[0.95002688621510123],[0.0017128721776826783],[0.0016275690052613978]
809,25.39249617855684,[0.0022724106499525387],[0.002146532277217339],[0.0012972050030449211],[0.66781882828254036],[0.48150011362816275],[0.55407841067690022],[0.66745086721393654],[0.63976916574717924],[0.51437241080250284],[0.52391801158017248],[1.0],[0.50480307065932573],[0.9781964081052037],[0.91287631504306443],[0.88682192864630349],[0.0020237586825362919],[0.0021191775632527499]
810,24.86799583043112,[0.0016302449848064615],[0.0019500447729212667],[0.0016116775412378659],[0.93594505111379722],[0.80606041639734838],[0.65345222071924636],[0.83325189514127884],[0.92886737096456518],[0.53946502884193515],[0.56911867304889863],[1.0],[0.69348228010254487],[0.6961824461734214],[0.80061823117970743],[0.48347210304480326],[0.0016302449848064615],[0.0019500447729212667]
811,26.62619644358033,[0.0018910150874513754],[0.0016490008587449201],[0.0016165861682090887],[0.42468826443759822],[0.83579098241350791],[0.61139180938294901],[0.9227166523042547],[0.93447659781258541],[0.92462695945200268],[0.53199624901212372],[0.84146551521877977],[0.81553739850112394],[0.95357060459890797],[0.64589228008153809],[0.81346220823094983],[0.0018910150874513754],[0.0016490008587449201]
812,26.165141872061973,[0.0025624810625923811],[0.0020717990383513074],[0.0019350918355243718],[0.93001696610196827],[0.47535943955208282],[0.50312189394593432],[0.46243251168598642],[0.71989992177255524],[0.65565063342650176],[0.52282786550870219],[1.0],[0.92418465112476],[0.76732890843211887],[0.54447836244183467],[0.65805395396886179],[0.0017421743718834537],[0.0015582675679944868]
813,26.95249582602678,[0.0019171082171092757],[0.0017165501276956152],[0.0014469170281393717],[0.78703391769410613],[0.61553939334944308],[0.64124054905944528],[0.77802266186809543],[0.99636464401550429],[0.71081667365041223],[0.59531685844650839],[1.0],[0.99619034835471232],[0.66220453689062042],[0.86911624471795501],[0.99735758500170313],[0.0016077234369376026],[0.0013961827134623128]
814,26.27536591307112,[0.0013551977451166652],[0.0021012795706513709],[0.0013953142702010646],[0.61239428400006102],[0.77391513335169915],[0.95539108000760953],[0.98815454077142773],[0.7213609264669123],[0.53931008750026443],[0.47151138019102967],[1.0],[0.97313767492230374],[0.87390513780752588],[0.7648133877702441],[0.5281738081267271],[0.0013551977451166652],[0.0021012795706513709]
815,26.29667116545984,[0.0021910659430716128],[0.0020863472979841258],[0.0025470367072023548],[0.66737198518681629],[0.39875007536637785],[0.62950736419224629],[0.72781625105373737],[0.90007712847384358],[0.49990156007397069],[0.44056874093059123],[1.0],[0.58277088021876589],[0.51360887167211677],[0.26133815744172495],[0.53403064149671764],[0.0014927477812183287],[0.0014312736195961628]
816,26.943404650677323,[0.0019497754306874171],[0.0013566652246575495],[0.0016460353413282891],[0.86765965040601345],[0.51812926205017984],[0.64431488043116369],[0.62357563206873989],[0.98471021461658892],[0.83874044545719573],[0.81076970955096628],[0.80480969668655256],[0.75165625550399251],[0.75170850452207449],[0.55262079345786308],[1.0],[0.0020480544918487498],[0.0016214978251606338]
817,26.086638221539985,[0.0015229098743457792],[0.0025000824118333043],[0.0022271165399282977],[0.99863652080340071],[0.80526397205664679],[0.92021623915211559],[0.52918761783576684],[0.8942362983135248],[0.48903216236328229],[0.40904777004104437],[1.0],[0.84526918371700743],[0.58934489480515329],[0.5160613239458075],[0.67886758000093395],[0.0018298090908318576],[0.0019063059856215814]
818,25.40991055280492,[0.0019500908808806061],[0.001446698270296698],[0.00175264161286387],[0.63815942037620543],[0.62178020418033175],[0.618914779580923],[0.91333004238519178],[0.6598801090264157],[0.83979654414824201],[0.81622108497946289],[1.0],[0.67886339435039844],[0.78870324466932673],[0.5456257551830237],[0.50413432480504994],[0.0017328002608165693],[0.0016520321552712103]
819,25.4903763066118,[0.0028200530390889988],[0.0027458900167262601],[0.0026903141896643112],[0.58469815572556305],[0.48037427073068706],[0.51601131534073097],[0.69258692308084635],[0.87624582586819555],[0.50711257069686266],[0.41356955784637556],[1.0],[0.65754147575370692],[0.56153174102076553],[0.45330763662665752],[0.54319287993877829],[0.0016508445603905519],[0.001642425895289179]
820,24.9434047835477,[0.0025014900088222158],[0.002555145595527275],[0.0024995512850545798],[0.68146235690370616],[0.51078027067576548],[0.56694738686704005],[0.57186399431766011],[0.93109461335809551],[0.52617524037515329],[0.42910998774549547],[1.0],[0.85316490400276224],[0.59137982601080408],[0.39441897893911448],[0.87616807246013773],[0.0025014900088222158],[0.002555145595527275]
821,27.553800960329088,[0.001554627840858358],[0.0019112893867935798],[0.0020320837734161823],[0.99999342789735146],[0.69978878557056901],[0.79338684073222798],[0.92499708095870437],[0.95244516289875447],[0.60619715063634916],[0.49621789881712436],[1.0],[0.76252862803753652],[0.66412645573478057],[0.40146807209214308],[0.70237558015670076],[0.0016294208281659728],[0.0016607694736044398]
