iter,incidence(millions),beta_H1,beta_H3,beta_B,susceptibility_H1_0,susceptibility_H1_5,susceptibility_H1_25,susceptibility_H1_65,susceptibility_H3_0,susceptibility_H3_5,susceptibility_H3_25,susceptibility_H3_65,susceptibility_B_0,susceptibility_B_5,susceptibility_B_25,susceptibility_B_65,vac_eff_hospitalization,vac_eff_mortality
2800,24.940138918841466,[0.0014051282554002342],[0.0019403454016043709],[0.0018186698407971491],[0.73738873019082274],[0.77646021188124614],[0.9362131086500397],[0.74510432063624865],[0.67850508503141549],[0.58710876814351676],[0.50524614427963044],[1.0],[0.8424217306917543],[0.43703024343078434],[0.74680492693562406],[0.48550689516473999],[0.0012676441787466963],[0.001829748653936647]
2801,27.505817115913803,[0.0014715074614136681],[0.0015982887367181897],[0.0015331109908024443],[0.78211897863396207],[0.80658425862740168],[0.90855651243936664],[0.82315824547522531],[1.0],[0.76419642258971598],[0.69103418098322189],[0.98633558503599494],[0.52433884539156994],[0.9281395122033983],[0.67850450132091589],[0.67724781333245743],[0.0014715074614136681],[0.0015982887367181897]
2802,26.98372256527017,[0.0015079422542783605],[0.0019981349746469035],[0.0014694233315506455],[0.77524804184423535],[0.70990253312884555],[0.82538785081312449],[0.99846587304736545],[0.78032354096260115],[0.54653031621724479],[0.4752204890968324],[1.0],[0.77371413172578996],[0.80295641978027121],[0.71054449999471148],[0.67065709609895008],[0.0018630757259973652],[0.0015338810407407588]
2803,25.921912350635452,[0.0018321963845588929],[0.0022597044438156799],[0.0013338938905558817],[0.87604886957789041],[0.62694257948906362],[0.59983723021618096],[0.85160351069981355],[0.75992280096088627],[0.5066976524043928],[0.39832950261951111],[0.99998072957132922],[0.52974459856589062],[0.89941548927063675],[0.87955106979332864],[0.56104389977524527],[0.0018321963845588929],[0.0022597044438156799]
2804,26.46227637119478,[0.0017175557590421442],[0.0018958154492064727],[0.0014368938446383539],[0.84743856605365742],[0.73679349511705849],[0.87034804336865867],[0.9141859496405863],[0.82742397409722968],[0.71114367087202957],[0.67066578380956221],[1.0],[0.96546857128398544],[0.9930364972757153],[0.86887209176197633],[0.93950912308894963],[0.0017175557590421442],[0.0018958154492064727]
2805,26.91788049388601,[0.0018132462066097754],[0.0023443978428916989],[0.0020915676208027589],[0.63025072215080924],[0.72460850949853584],[0.78239649425936397],[0.98116543059504913],[0.77073920266980722],[0.56427336169286146],[0.48438364383618804],[1.0],[0.91934296104089708],[0.65269112157175746],[0.55396298456621873],[0.54856621994584975],[0.0018383301776666583],[0.0015656253340030069]
2806,25.762623021364732,[0.0019045549875478796],[0.0021492309606641613],[0.0024409636185162564],[0.90803352064695497],[0.55871731550571557],[0.6378844751991235],[0.74386132974279573],[0.86526581055430674],[0.52563263538656246],[0.45017423241709953],[1.0],[0.66274173567105299],[0.52672688906825327],[0.35270360362003605],[0.69531012733243569],[0.0015753472374569477],[0.0024903723226185059]
2807,27.04424741500576,[0.0021006724819030986],[0.0017079182871397314],[0.0013389657723060222],[0.66665472647538193],[0.53374818594215934],[0.61975912579588843],[0.44799780092896851],[0.96909624683297113],[0.56693172090362287],[0.70790341640347398],[1.0],[0.68152368511581529],[0.94273433294029885],[0.87730887802182655],[0.44177040021755454],[0.0013575252132413396],[0.0014226282863709083]
2808,25.845414249388885,[0.0019890004839817066],[0.0017449960712046519],[0.0017565314936881515],[0.8766356902688428],[0.59720471248781959],[0.69290506626730697],[0.73072831562905249],[0.91573078831732058],[0.77427638725824099],[0.6117147470128792],[1.0],[0.54064077162066038],[0.8133790713157667],[0.68068420773639204],[0.68387970905495576],[0.0016313667434696977],[0.0014276730842092133]
2809,25.77884158015752,[0.0014353398600287504],[0.0016251451858455557],[0.0017083369224952238],[0.87929393584077753],[0.82777343371292811],[0.87541588199552467],[0.85480142966747008],[1.0],[0.72614716990955641],[0.60744548785076169],[1.0],[0.70734195569439251],[0.76330432679527549],[0.52697253362005192],[0.86545676112652936],[0.0014353398600287504],[0.0016251451858455557]
2810,27.08343541489521,[0.0023995554012225528],[0.001328610457810242],[0.001348948332069333],[0.56186550988458195],[0.38813731138660612],[0.55275603930116213],[0.7535641563498624],[0.91346327212503609],[0.81603286738331327],[0.85886855122071348],[1.0],[0.75649785009641146],[0.90128658951985496],[0.77564221284419399],[0.73291793365029312],[0.0023995554012225528],[0.001328610457810242]
2811,28.61336957274653,[0.0014961867509248883],[0.0028483566504839963],[0.0017980609436755168],[0.91193937009305825],[0.8697524736090706],[0.976885498948313],[0.92037530143378843],[0.70335507421423726],[0.45448775284688814],[0.4066142990570259],[0.89258871274805052],[0.43353270337427108],[0.77822535087032318],[0.76069873348296024],[0.7586971004790859],[0.0022389606591274869],[0.0018869242368672046]
2812,26.122724944702703,[0.0023739584302381322],[0.002649580545961483],[0.002456740265337265],[0.66086455197916194],[0.45550389433582428],[0.52877916932177238],[0.55750208544184121],[0.74715217788803667],[0.40283496340390257],[0.33833713129770437],[1.0],[0.75097086384869205],[0.4910386799130273],[0.335216934593912],[0.710152521368972],[0.0023739584302381322],[0.002649580545961483]
2813,25.99439517050853,[0.0013306318356466895],[0.0013649073173424009],[0.0020081586550439456],[0.67223260479207414],[0.76972380529234719],[0.95869358070706012],[0.51380774503116766],[1.0],[0.80015655005677666],[0.70219028755576807],[1.0],[0.72243425688306218],[0.59339598750366496],[0.4393166625812579],[0.68561113650130767],[0.001562382046625288],[0.0014408879605549152]
