iter,incidence(millions),beta_H1,beta_H3,beta_B,susceptibility_H1_0,susceptibility_H1_5,susceptibility_H1_25,susceptibility_H1_65,susceptibility_H3_0,susceptibility_H3_5,susceptibility_H3_25,susceptibility_H3_65,susceptibility_B_0,susceptibility_B_5,susceptibility_B_25,susceptibility_B_65,vac_eff_hospitalization,vac_eff_mortality
4200,25.50701189321409,[0.0019387680264401075],[0.0017450762304733192],[0.001995510056823413],[0.7752120357683282],[0.63830537136031429],[0.70278707083122538],[0.48985791045828131],[0.67450633181786124],[0.6589985560364352],[0.77484353660296246],[1.0],[0.55832794946029696],[0.59988363390917332],[0.68044900153195198],[0.72475469013422189],[0.0019387680264401075],[0.0017450762304733192]
4201,26.47185688667547,[0.0019806115726719309],[0.0022107838831983417],[0.002005658521121223],[0.46768264338381083],[0.67904973924859957],[0.69588879634398015],[0.9618702347774678],[0.94689925751702397],[0.57211696686899038],[0.50706493234856043],[1.0],[0.93347483978022638],[0.75044458081823839],[0.49597395913787118],[0.80511126514615017],[0.0021113689786965706],[0.0018808364436115887]
4202,26.121382403925868,[0.0018851593402554601],[0.0015083758362622324],[0.0015492312172689648],[0.51500778146560444],[0.66887681100519747],[0.7033440314759678],[0.61019580510458038],[0.87205397401914886],[0.8504295865051994],[0.73456476192042075],[0.9338887050016812],[0.69487333975372989],[0.88443052516584875],[0.72378254863198799],[0.44429891555085099],[0.0016994282567137087],[0.0017834492775586908]
4203,26.84935367780513,[0.002916612028722565],[0.0030687287231709326],[0.0025046635862364108],[0.60999559622504396],[0.51722494518085282],[0.51201870724967813],[0.89225238965937592],[0.73506809182102062],[0.44657412351457415],[0.42645626797650016],[1.0],[0.79715841308689828],[0.67806683337951956],[0.45413071704739622],[0.53041873082763835],[0.001796662966815521],[0.0023768861036781441]
4204,25.935319995404008,[0.0021694063680576803],[0.0019095807446842805],[0.0021684667718377959],[0.43525280565355851],[0.60872030582370995],[0.69730122379018544],[0.65266350946555662],[0.99416931208092973],[0.65443457575952535],[0.66025121261907949],[1.0],[0.97213978768713316],[0.6051069302983495],[0.5943848911675973],[0.45705159995023337],[0.0014971019844444156],[0.0016637065780150673]
4205,27.379693373491392,[0.0015356335837022339],[0.0013549805371922408],[0.0015683861685347189],[0.5367518055387267],[0.84615949106971344],[0.86033545262244837],[1.0],[0.96032042485990399],[0.96666684675717729],[0.85497905297047394],[1.0],[0.96651880983272787],[0.86116243380405399],[0.70430503797737676],[1.0],[0.0014755382694541241],[0.0017964191036980437]
4206,26.036627796658866,[0.0017190145933014267],[0.0026966861316641833],[0.0016675122723803781],[1.0],[0.75664398318291448],[0.91784563644999073],[0.68131955867125793],[0.76594775130372295],[0.5306948652001755],[0.41849530315228922],[1.0],[0.73475191386472027],[0.99380915320645524],[0.67922235012002541],[1.0],[0.0017190145933014267],[0.0026966861316641833]
4207,25.274717477468652,[0.0016975996424769546],[0.0018447589973424328],[0.0017176674330416364],[0.72725673308233896],[0.74363145104077799],[0.80731921044287036],[0.8324421360106653],[1.0],[0.72225202181503401],[0.55148564404578915],[0.99988655522741876],[0.86650859654956869],[0.80855663305902947],[0.61954269985827803],[0.92010053714583517],[0.0019482517144159828],[0.0016737267370143805]
4208,26.483729570210887,[0.0015067455194017199],[0.0017799774907004684],[0.0018784834784757454],[0.70574282817911194],[0.81407020370064154],[0.84296691201501606],[1.0],[0.97187772489004853],[0.64676371484249895],[0.57611459490545425],[1.0],[0.93341834574742033],[0.64068626238249982],[0.54473581602133758],[0.90220577733007379],[0.0013093595163455873],[0.0016302218665145696]
4209,28.53151247068687,[0.0018709561205330072],[0.0024681708254368218],[0.0014832450742068293],[0.8919646326812154],[0.59669089828613597],[0.68420108985324601],[0.74040403999246851],[0.8732710540604498],[0.45588606309188878],[0.36535361803278177],[1.0],[0.79137014284738783],[0.9282177568293708],[0.61706882830872756],[0.99710453647561903],[0.001568961791129253],[0.0021288696859591005]
4210,27.413693117917035,[0.0020587740141166377],[0.0019265200168844254],[0.0015662238679923224],[0.9229345609434918],[0.55112928793181903],[0.55998021662207198],[0.84385764781907935],[0.96642816116163888],[0.56431694207097416],[0.58420930737652688],[0.91231963531737414],[0.72361514244854686],[0.81999283692655967],[0.67589906619345452],[0.75258805971395448],[0.0017954958592442116],[0.001869179593397774]
4211,26.109977363380377,[0.0021171946407460007],[0.0018512566682891141],[0.0017033760987884006],[0.97120147337363971],[0.61121093395886639],[0.6754267885580979],[0.56567212557346735],[1.0],[0.76336589227048279],[0.63578592718550109],[1.0],[0.90727776969397733],[0.89079114076579824],[0.64415763825476291],[0.78098348972848874],[0.0021171946407460007],[0.0018512566682891141]
4212,27.128294149999004,[0.0019952085136143438],[0.0016362618956844432],[0.0015198216369018414],[0.62738805508684259],[0.53494173876307372],[0.61751565888639548],[0.89823013699450138],[0.96119848965658639],[0.64255267220601842],[0.70566614936716765],[0.70458495773415297],[0.4893306090746109],[0.61934548724535632],[0.87761039084203318],[0.88446986012530493],[0.0019952085136143438],[0.0016362618956844432]
4213,26.4502735038268,[0.0016833368787149694],[0.0018177785662448209],[0.0015633673518301583],[0.59413196351501418],[0.72248216280821209],[0.8238228878351288],[0.9705700787961643],[0.7396867735278243],[0.66666559411942672],[0.69357811524523005],[1.0],[0.60036549018264251],[0.92235417364596961],[0.67046123050842144],[1.0],[0.0016833368787149694],[0.0018177785662448209]
