iter,incidence(millions),vac_eff_hospitalization,vac_eff_mortality,prob_hosp_scaling,prob_death_scaling
600,26.283076140000002,[0.52928972511586492],[0.51433613165940018],[0.0053492488499515822],[4.7499236948800316e-05]
601,25.335311,[0.53652126393989508],[0.34113911598574659],[0.0075802000251806723],[4.932075539321179e-05]
602,25.082954179999998,[0.9615034671654018],[0.68412502410685505],[0.0097687794222058866],[8.5318876548889921e-05]
603,25.946879350000003,[0.14026878360779294],[0.058006385663078031],[0.0057819337548769556],[5.2359087666375981e-05]
604,27.04270959,[0.44008493950596117],[0.27553021976136494],[0.005987581975533951],[2.6976472420892073e-05]
605,25.73305368,[0.29206075054330566],[0.89083287578532433],[0.0062575867030544297],[3.2484541632793462e-05]
606,25.72070119,[0.49312908696686469],[0.19930089672505902],[0.0054325498843032505],[3.2522383530853016e-05]
607,26.7196211,[0.51132566218661335],[0.84896774281767928],[0.0037054378940665211],[4.4855333129256714e-05]
608,27.12312406,[0.098096344880004738],[0.54907072167802484],[0.0040163849782543504],[4.1588977353568257e-05]
609,26.013528530000002,[0.73040386292531267],[0.096544404404178386],[0.013250686007900414],[2.1955562194420075e-05]
610,25.29560548,[0.011255642973090063],[0.15628338773323064],[0.0085637736092954442],[4.4203804279774328e-05]
611,27.046749170000002,[0.47770517184408728],[0.83283156911935974],[0.011035938487909236],[6.6222284116235208e-05]
612,26.33752266,[0.59838935029803775],[1e-08],[0.019963531985413618],[4.1856473244616943e-05]
613,26.489471690000002,[0.83505772331007955],[0.62935489770412523],[0.01622760803248946],[4.8655429069233147e-05]
614,25.596614539999997,[0.44909229308682486],[0.5549990620751899],[0.013120181576043943],[4.3234861249019652e-05]
615,25.90483025,[0.79702583674533511],[0.24849217423830761],[0.011107669189421743],[4.3123964862390451e-05]
616,26.79538073,[0.14053113815867463],[0.81279473782814093],[0.0068699038027985049],[5.4113245010867228e-05]
617,27.310062969999997,[0.98175365157146777],[0.73899890913046051],[0.011313849276463339],[3.8257942746033891e-05]
618,27.34230006,[0.021704667508769315],[0.78126082547173203],[0.0065826628214457061],[5.1818263662073427e-05]
619,25.28915104,[0.4758032690780129],[0.041964838893558121],[0.0037127786553958209],[4.658458915501873e-05]
620,25.98402687,[0.13129683570126471],[0.73787757752262884],[0.0050974437277507834],[4.1233602937063019e-05]
