iter,incidence(millions),vac_eff_hospitalization,vac_eff_mortality,prob_hosp_scaling,prob_death_scaling
500,26.00023748,[0.92131308988356009],[0.33573692597363225],[0.010208905520666944],[3.3472410288004628e-05]
501,26.24614017,[0.94288552194178032],[0.81855023679412819],[0.0066743790372419398],[3.7715250203018691e-05]
502,25.65952784,[0.087881711759113967],[0.95250319422200147],[0.0061487289302593062],[4.9447684033587791e-05]
503,25.991058329999998,[0.83283683684029275],[0.96645432898909944],[0.0096716017542707311],[5.660046338995528e-05]
504,25.85089414,[0.32581869748224102],[0.16097324416772357],[0.005673698592789489],[6.1127455384335505e-05]
505,27.39998772,[0.4224753016975426],[0.38837861767191728],[0.0029032929344352532],[1.9750618543479259e-05]
506,26.62502894,[0.79121229186788689],[0.34419110538828529],[0.0056353537616813387],[4.2293022983252992e-05]
507,26.67125343,[0.49181476508430194],[0.83419568179492321],[0.0079742187434475031],[4.5949170616343959e-05]
508,27.37042059,[0.14582671924815332],[0.95745585183362514],[0.0012464431668001152],[5.6400378890986147e-05]
509,25.92065911,[0.77655479267900374],[0.4429790918296399],[0.010769194243387126],[4.7783607112661386e-05]
510,26.09929421,[0.62017792069376088],[0.51771167409051011],[0.0064400054914710569],[6.2545061747243391e-05]
511,26.27742034,[0.28212192917756196],[0.82472417107096507],[0.0066381791343037566],[5.6961940177402415e-05]
512,24.876707109999998,[0.50075252010702409],[0.01926970487548707],[0.015118562529987389],[2.959279114594926e-05]
513,25.00811234,[0.09440968955225959],[0.38408639930316679],[0.0054634690725259838],[3.1734090644608415e-05]
514,26.70651259,[0.47612301249280881],[0.62057057421554374],[0.0085145119105290989],[3.1604689083863935e-05]
515,26.90888134,[0.56146313455482222],[1e-08],[0.0054019367149593656],[2.8918152939705344e-05]
516,26.32132788,[0.97949083463336839],[0.91022190505007883],[0.0086633840043049415],[3.4862642263655541e-05]
517,26.475176910000002,[0.27387235324862158],[1e-08],[0.005504370363845934],[3.943284604679409e-05]
518,25.18745059,[0.34794101271253758],[0.77248476053347326],[0.0050324553303205954],[3.570964455590353e-05]
519,26.76386389,[0.43971437111297529],[0.75729251303876532],[0.0098093203521883443],[6.2687696978591667e-05]
520,26.16589896,[0.68150164315898365],[0.87605466561988643],[0.0057812730173024685],[5.8710562022390445e-05]
521,26.77234854,[0.59547883743648033],[0.0040572358220171689],[0.0055953623257761209],[4.3912286736336181e-05]
522,26.36813239,[0.27954676520496069],[0.46647928729002369],[0.008742133689774223],[4.1986602876353807e-05]
523,25.57884163,[0.22562172560347776],[0.67779061085268388],[0.0078178730961592224],[6.1055629018147428e-05]
524,25.81786507,[0.44650697713480836],[0.53400040530982862],[0.0081922547780129418],[3.1984188902101085e-05]
525,25.32802698,[0.89074612074948911],[0.17581034538908119],[0.0032914357400046779],[5.1841551008902087e-05]
526,26.49574873,[0.041207636242596268],[0.6853755914403753],[0.0080597310878922634],[2.7960731804776984e-05]
527,25.764596230000002,[0.60456679102390554],[0.82029875641434002],[0.0098464450704722206],[2.6356467846322396e-05]
528,26.353040359999998,[0.69421343659849033],[0.23470105152922965],[0.015433851227223627],[2.7661722126870458e-05]
529,26.70049863,[0.80869558563613375],[0.6116956732359482],[0.0073559218011558514],[6.0834440433477077e-05]
530,26.198355199999998,[0.84414079634265871],[0.84071963216281609],[0.011140082645048122],[2.0640748960631949e-05]
531,24.91923594,[0.27981829616928766],[0.12840702861413794],[0.0066391974032154466],[4.3800184124698216e-05]
532,27.77135904,[0.058860806088326501],[0.47791591181743698],[0.006514683794184517],[3.1029914144331538e-05]
533,27.36186515,[0.8792907959740508],[0.89854964137959659],[0.017600311746586494],[0.00011970158986807089]
534,26.15740169,[0.94894576435070566],[0.90156757796883835],[0.0073571760015945786],[5.5171731287328996e-05]
535,25.982480010000003,[0.75754888669777576],[0.53218239733113448],[0.010796774218028049],[5.099259462010286e-05]
536,26.03850839,[0.51207094372980977],[0.9226642095569656],[0.0042683657148869236],[4.1701732381993484e-05]
537,25.038231850000003,[0.35649539937307306],[0.8474504862592438],[0.0090618165091826408],[6.7927712774307203e-05]
538,26.46068023,[0.92475904911063123],[0.5313136815765237],[0.0072103813305474107],[5.0124101271253885e-05]
539,25.80628343,[0.68108858393445992],[0.98891375168625317],[0.0088617270584206986],[4.5983415960237917e-05]
540,25.890431739999997,[0.47489649881325885],[0.06553556480022471],[0.011568136519502892],[3.8177170517461612e-05]
541,26.14404725,[0.20323697667771679],[0.85638922317631649],[0.006540791023188941],[7.9349847419252217e-05]
542,25.06494552,[0.15441559560753498],[0.49645379223916997],[0.011828243559102947],[4.158178985969041e-05]
543,26.15394352,[0.074708381324927131],[0.054099341265691825],[0.0074962421674823476],[2.2737611182599426e-05]
544,26.50892795,[0.40754802200161944],[0.76168685150637661],[0.0058224479206198665],[3.1625431285098315e-05]
545,27.117365510000003,[0.052547165203067292],[0.18501049304012829],[0.0066981658682217504],[2.8404218840205608e-05]
546,25.877353420000002,[0.037186604915973753],[0.28421891117541087],[0.011971877896471583],[3.8611925271991865e-05]
547,26.61540784,[0.90474947743389911],[0.98974150092458302],[0.0076885434575410527],[3.4324989936884709e-05]
548,26.22954077,[0.079076711326667937],[0.68499446323099678],[0.0057205157081444136],[5.0928697951257984e-05]
549,27.243744420000002,[0.19438330760787464],[0.38413080988051507],[0.0013342539944355414],[2.4553278225925013e-05]
550,26.03005371,[0.58911404720562166],[0.093614163321481592],[0.0079616350737630182],[5.6346477574131804e-05]
551,28.03816461,[0.45165740968699686],[0.50051254603668849],[0.0087857328993184436],[3.9432866354549567e-05]
552,25.43287236,[0.013088109255341485],[0.44625035961952303],[0.011039871411676172],[3.5316468525059541e-05]
553,26.5695495,[0.2621214754348779],[0.86366455318088198],[0.00652858704991649],[3.7269385345761741e-05]
554,26.443941719999998,[0.3785830494474921],[0.9340526386420378],[0.0071127984064089378],[5.13935476962879e-05]
555,25.83536409,[0.0025047424246736338],[0.30058517608157043],[0.007725195794505646],[3.1159842361239143e-05]
556,26.188228239999997,[0.56559832969620771],[0.28794683041816116],[0.0088457822299856659],[2.2045811971571627e-05]
557,26.99511044,[0.34303568119396427],[0.89573918409177522],[0.0078806398376057851],[7.4070739722209566e-05]
558,27.45691227,[0.045825357678667522],[0.46407539954736504],[0.0019677705519389188],[5.6728960384944127e-05]
559,26.13260041,[0.88277163800551683],[0.71966947137187653],[0.0037434568544860158],[4.4876867187071401e-05]
560,27.58671183,[0.11664671609119331],[0.68533283126329103],[0.0068236995067729178],[2.3145710633054595e-05]
561,25.83211564,[0.14171451580642647],[0.70243906831999947],[0.0062166682556991648],[4.9500633526156079e-05]
562,25.52841963,[0.88772484164192966],[0.78783881822590218],[0.01887022915571851],[5.929086280997975e-05]
563,25.88697617,[0.060430217441938994],[0.6424204587542659],[0.0045506723425710049],[5.8988630870004943e-05]
564,27.56847454,[0.41167180824308669],[0.70867609526765318],[0.0085643321845069176],[5.0345869066659166e-05]
565,25.299403530000003,[0.30875802893869153],[0.29982681894324736],[0.006388919615857358],[3.9683999769779543e-05]
566,25.95602581,[0.033656583998294853],[0.6644030310119462],[0.0070810820039174383],[4.9383288930227032e-05]
567,25.485791539999997,[0.031763537430480715],[0.15155029862859531],[0.0076288001534438044],[3.4762911575059174e-05]
568,25.42936116,[0.77084691289410467],[0.070916034031512087],[0.003591940365623103],[4.0607300211270569e-05]
569,26.88885489,[0.30993875684313776],[0.75962177724761593],[0.00571841095706771],[0.00010211576278140733]
570,26.26516533,[0.28876631656020868],[0.66741262384141919],[0.0090919253196636296],[2.8998021826653897e-05]
571,26.259978280000002,[0.79447252858839246],[0.51099844581104525],[0.0024875855736243291],[4.2258549791451827e-05]
572,26.77777775,[0.074521926867427646],[0.72628418373896153],[0.0054192661499182782],[5.1260808966890892e-05]
573,25.62537188,[0.5738750552623797],[0.61314763424110086],[0.008490167889457223],[6.1246687850291526e-05]
574,27.418670510000002,[0.5759267888375359],[0.65398219971702432],[0.0063352604175003213],[3.3563743268516522e-05]
575,26.95401679,[0.49221469824118985],[0.41704047316752474],[0.00500889523000142],[4.3446527604074081e-05]
576,26.34269116,[0.37009322491919733],[0.13288207263595292],[0.0061976917800482534],[2.5273933066338738e-05]
577,27.214487690000002,[0.78013041911309267],[0.032663784504646021],[0.0064532142298285855],[4.9888434681844007e-05]
578,27.19849579,[0.52348166441374644],[0.61030706321322681],[0.0038163486737216035],[3.4427623971322596e-05]
579,25.26754338,[0.13339683932787849],[0.10388181070352981],[0.004314914894969657],[4.7657883289864422e-05]
580,26.60317901,[0.38614207476737938],[0.8445081643674992],[0.002783856500023274],[4.3551518806861367e-05]
581,25.76029112,[0.98401810099850251],[0.11624335564370614],[0.01309344619217262],[3.151216931174261e-05]
582,27.63641734,[0.36663621748547437],[0.9533499280359703],[0.010865600571451195],[7.0156002488719338e-05]
583,25.70338087,[0.27414420456610289],[0.30782635147078863],[0.010132842298088862],[2.8691960028581764e-05]
584,26.468582,[0.20469209703128655],[0.23225763791192611],[0.0080658980410094894],[3.6066779815990824e-05]
585,27.319424039999998,[0.72995184637562649],[0.72586636952808248],[0.0083414718452987646],[9.5467357441425538e-05]
586,26.65016634,[0.92603894007990162],[0.71226473288593384],[0.005473464638626746],[5.8488248105004192e-05]
